Date,Open_CRM,High_CRM,Low_CRM,Close_CRM,Volume_CRM,AdjClose_CRM
2015-10-21,77.419998,77.529999,75.309998,75.830002,3134700,75.830002
2015-10-22,76.449997,78.419998,76.449997,77.370003,3280100,77.370003
2015-10-23,78.199997,79.379997,77.269997,78.559998,3971400,78.559998
2015-10-26,78.580002,79.300003,77.639999,78.220001,2740300,78.220001
2015-10-27,78.040001,78.620003,77.32,77.75,1683800,77.75
2015-10-28,77.879997,78.529999,76.57,78.529999,3266800,78.529999
2015-10-29,78.580002,78.720001,77.57,78.139999,1822100,78.139999
2015-10-30,78.150002,78.629997,77.419998,77.709999,3371600,77.709999
2015-11-02,77.709999,79.82,77.5,79.199997,3110000,79.199997
2015-11-03,79.029999,79.32,78.25,78.629997,2398500,78.629997
2015-11-04,78.879997,79.480003,78.080002,78.389999,2585800,78.389999
2015-11-05,78.410004,79.480003,77.800003,78.709999,2601900,78.709999
2015-11-06,78.559998,79.629997,78.18,79.410004,2835100,79.410004
2015-11-09,78.93,79.019997,77.410004,78.220001,3088300,78.220001
2015-11-10,78.199997,78.360001,77.300003,78.25,2610500,78.25
2015-11-11,78.540001,79.0,78.089996,78.709999,2385700,78.709999
2015-11-12,78.470001,79.75,78.230003,78.300003,3159800,78.300003
2015-11-13,78.080002,78.080002,75.419998,75.599998,3922600,75.599998
2015-11-16,75.540001,76.330002,73.940002,76.260002,4053200,76.260002
2015-11-17,76.57,78.489998,76.410004,77.239998,4567600,77.239998
2015-11-18,77.769997,78.050003,75.809998,77.349998,6442500,77.349998
2015-11-19,81.050003,82.900002,80.449997,80.639999,11602800,80.639999
2015-11-20,80.900002,82.139999,79.709999,80.989998,5336300,80.989998
2015-11-23,80.440002,81.739998,80.389999,80.779999,3593700,80.779999
2015-11-24,80.300003,80.800003,79.129997,80.389999,3420300,80.389999
2015-11-25,80.370003,81.120003,79.75,80.410004,2487300,80.410004
2015-11-27,80.220001,80.480003,79.449997,79.970001,2221700,79.970001
2015-11-30,79.730003,80.18,79.290001,79.690002,4375300,79.690002
2015-12-01,80.349998,81.099998,79.650002,81.010002,3689400,81.010002
2015-12-02,80.769997,81.940002,80.419998,80.879997,3363700,80.879997
2015-12-03,80.959999,82.059998,79.559998,79.93,4769100,79.93
2015-12-04,80.330002,82.139999,80.160004,82.139999,4340400,82.139999
2015-12-07,81.809998,81.860001,80.300003,80.68,2954800,80.68
2015-12-08,80.209999,81.459999,79.860001,81.080002,2103400,81.080002
2015-12-09,80.830002,81.400002,79.220001,79.709999,3181000,79.709999
2015-12-10,79.800003,79.970001,79.160004,79.379997,2027400,79.379997
2015-12-11,78.300003,78.879997,76.650002,76.870003,4466700,76.870003
2015-12-14,76.760002,77.669998,75.849998,76.989998,3932700,76.989998
2015-12-15,77.660004,77.870003,76.970001,77.370003,3359400,77.370003
2015-12-16,77.639999,79.099998,77.120003,78.889999,3726700,78.889999
2015-12-17,78.970001,79.32,78.040001,78.43,2654300,78.43
2015-12-18,78.110001,79.489998,77.029999,77.029999,5869000,77.029999
2015-12-21,78.300003,78.330002,76.43,77.290001,3001500,77.290001
2015-12-22,77.519997,78.089996,76.849998,77.860001,2097500,77.860001
2015-12-23,78.199997,78.900002,77.940002,78.040001,2641000,78.040001
2015-12-24,78.029999,78.349998,77.580002,77.830002,1084700,77.830002
2015-12-28,77.660004,78.199997,77.379997,78.199997,2317600,78.199997
2015-12-29,78.5,79.760002,78.440002,79.440002,2224800,79.440002
2015-12-30,79.300003,79.889999,78.970001,79.139999,1814700,79.139999
2015-12-31,78.989998,79.419998,78.360001,78.400002,2450300,78.400002
2016-01-04,77.139999,77.209999,75.639999,76.709999,4891100,76.709999
2016-01-05,77.07,77.970001,76.669998,77.050003,2648200,77.050003
2016-01-06,75.720001,77.330002,75.629997,76.290001,3475500,76.290001
2016-01-07,75.129997,75.599998,73.470001,74.300003,5963700,74.300003
2016-01-08,74.779999,75.260002,72.900002,73.230003,3672500,73.230003
2016-01-11,73.739998,73.830002,71.860001,73.18,3646700,73.18
2016-01-12,73.970001,75.279999,73.050003,74.459999,4077800,74.459999
2016-01-13,74.989998,75.709999,71.800003,72.349998,4700400,72.349998
