Date,Open_AAP,High_AAP,Low_AAP,Close_AAP,Volume_AAP,AdjClose_AAP
2015-10-12,189.75,192.460007,188.899994,191.279999,941700,191.130963
2015-10-13,190.850006,191.850006,189.649994,190.850006,502800,190.701305
2015-10-14,190.449997,191.0,185.160004,187.070007,849000,186.924251
2015-10-15,188.070007,190.869995,187.630005,190.550003,607800,190.401536
2015-10-16,191.839996,191.940002,189.809998,190.800003,627400,190.651341
2015-10-19,190.779999,192.029999,189.789993,191.399994,726400,191.250864
2015-10-20,191.779999,194.309998,191.5,193.589996,774300,193.43916
2015-10-21,194.5,196.089996,191.75,192.149994,561200,192.00028
2015-10-22,192.889999,193.899994,191.279999,191.869995,705200,191.720499
2015-10-23,193.710007,193.789993,189.0,191.940002,571700,191.790452
2015-10-26,192.820007,194.190002,191.889999,192.449997,500100,192.300049
2015-10-27,192.25,193.889999,191.380005,193.270004,416600,193.119418
2015-10-28,194.009995,194.669998,192.300003,194.279999,384600,194.128625
2015-10-29,194.639999,198.570007,194.399994,197.479996,727700,197.326129
2015-10-30,197.660004,199.389999,196.509995,198.429993,732000,198.275386
2015-11-02,199.139999,201.169998,197.979996,200.380005,728500,200.223878
2015-11-03,200.149994,200.639999,196.639999,198.699997,674100,198.545179
2015-11-04,198.770004,199.789993,196.800003,199.339996,692600,199.18468
2015-11-05,199.960007,201.210007,198.160004,200.339996,711300,200.183901
2015-11-06,201.240005,201.240005,197.070007,198.720001,684100,198.565168
2015-11-09,198.710007,198.880005,193.759995,194.899994,865200,194.748137
2015-11-10,193.770004,196.119995,193.770004,194.110001,1379300,193.958759
2015-11-11,194.369995,196.070007,193.380005,194.669998,1313000,194.518321
2015-11-12,173.75,177.0,164.229996,164.639999,6955600,164.51172
2015-11-13,163.309998,165.330002,161.190002,161.619995,3092700,161.494069
2015-11-16,161.0,164.539993,159.690002,164.220001,1494100,164.092049
2015-11-17,165.089996,167.220001,162.529999,164.089996,1171000,163.962145
2015-11-18,164.369995,164.669998,162.600006,164.440002,784800,164.311879
2015-11-19,164.190002,165.270004,162.220001,162.369995,684200,162.243484
2015-11-20,162.860001,165.100006,162.550003,162.820007,733400,162.693146
2015-11-23,162.679993,164.5,161.5,162.619995,895900,162.493289
2015-11-24,160.820007,163.860001,160.820007,163.190002,754500,163.062853
2015-11-25,164.0,167.070007,163.649994,164.300003,919300,164.171988
2015-11-27,164.880005,164.880005,162.830002,164.839996,293400,164.711561
2015-11-30,164.690002,164.75,162.610001,162.729996,1329300,162.603204
2015-12-01,162.990005,163.979996,161.169998,162.339996,953000,162.213509
2015-12-02,162.210007,163.220001,157.089996,157.929993,1331800,157.806941
2015-12-03,158.100006,159.229996,153.25,154.779999,1320500,154.659402
2015-12-04,155.059998,156.330002,154.179993,155.830002,996300,155.708587
2015-12-07,155.679993,156.899994,150.619995,151.220001,1358500,151.102178
2015-12-08,150.610001,153.080002,149.0,149.880005,1485300,149.763226
2015-12-09,149.75,156.259995,149.649994,153.210007,1699900,153.090633
2015-12-10,153.169998,154.229996,150.330002,151.759995,1027200,151.64175
2015-12-11,149.220001,150.830002,147.789993,148.850006,1012900,148.734029
2015-12-14,148.729996,150.350006,145.889999,147.610001,986500,147.49499
2015-12-15,148.350006,164.25,144.729996,156.169998,5651500,156.048318
2015-12-16,159.0,162.0,157.009995,160.820007,2638900,160.694704
2015-12-17,161.130005,161.899994,153.0,153.070007,1732900,152.950743
2015-12-18,151.199997,153.270004,149.410004,149.570007,2221600,149.45347
2015-12-21,150.809998,151.490005,148.25,149.649994,1131500,149.533394
2015-12-22,150.110001,150.490005,147.279999,147.830002,869300,147.774067
2015-12-23,148.429993,150.050003,146.559998,149.059998,1426300,149.003598
2015-12-24,148.279999,150.320007,148.270004,149.130005,381700,149.073579
2015-12-28,148.440002,150.919998,148.139999,150.550003,710600,150.493039
2015-12-29,151.729996,153.0,151.289993,152.199997,572800,152.142409
2015-12-30,152.199997,153.070007,151.179993,151.399994,453900,151.342709
2015-12-31,151.259995,151.940002,150.449997,150.509995,766700,150.453046
2016-01-04,149.25,154.479996,147.509995,152.240005,1935300,152.182402
2016-01-05,152.350006,153.789993,149.889999,151.199997,1127700,151.142787
2016-01-06,149.679993,150.050003,145.779999,147.199997,1048400,147.144301
2016-01-07,144.800003,149.460007,143.130005,148.830002,1343700,148.773689
2016-01-08,149.029999,149.440002,144.869995,145.559998,1030400,145.504922
2016-01-11,146.130005,148.119995,145.059998,147.050003,1114400,146.994364
2016-01-12,147.520004,148.970001,145.740005,148.070007,1045400,148.013982
2016-01-13,148.339996,148.889999,141.759995,142.160004,1336000,142.106215
2016-01-14,142.179993,143.0,139.160004,141.320007,1121200,141.266536
2016-01-15,138.029999,144.710007,137.660004,144.289993,1333100,144.235398
2016-01-19,145.089996,146.440002,142.899994,144.619995,1184000,144.565275
2016-01-20,142.580002,145.110001,139.410004,143.389999,616700,143.335745
2016-01-21,143.240005,146.389999,142.270004,143.800003,706800,143.745593
2016-01-22,144.940002,145.850006,142.589996,144.429993,990400,144.375345
2016-01-25,144.990005,146.330002,143.240005,144.720001,853700,144.665243
2016-01-26,145.440002,152.710007,144.759995,151.470001,1156100,151.412689
2016-01-27,151.149994,154.059998,150.179993,151.520004,987900,151.462674
2016-01-28,152.960007,153.699997,145.669998,148.559998,1001800,148.503787
2016-01-29,149.869995,152.229996,148.179993,152.050003,1255600,151.992472
2016-02-01,151.699997,156.339996,150.679993,154.889999,862800,154.831394
2016-02-02,154.380005,154.940002,150.669998,151.860001,713100,151.802541
2016-02-03,151.580002,152.949997,146.020004,147.940002,1513600,147.884026
2016-02-04,147.460007,148.440002,145.479996,147.850006,1573500,147.794064
2016-02-05,147.539993,147.960007,143.440002,143.940002,1284200,143.88554
2016-02-08,142.770004,143.100006,136.059998,141.449997,2109900,141.396476
2016-02-09,141.149994,143.639999,139.130005,141.5,1239800,141.446461
2016-02-10,141.130005,143.5,138.410004,138.570007,2203700,138.517577
2016-02-11,137.039993,142.770004,131.589996,138.410004,2575700,138.357633
2016-02-12,139.539993,141.399994,137.190002,140.770004,974800,140.716741
2016-02-16,142.039993,148.970001,141.179993,146.0,1315400,145.944758
2016-02-17,147.169998,149.009995,142.990005,143.410004,1471100,143.355742
2016-02-18,142.350006,144.839996,140.559998,143.320007,1068000,143.265779
2016-02-19,143.520004,145.089996,141.350006,143.630005,948700,143.57566
2016-02-22,145.25,148.470001,145.029999,147.869995,904000,147.814046
2016-02-23,148.440002,151.339996,147.369995,147.550003,698300,147.494175
2016-02-24,147.339996,150.619995,145.470001,150.419998,624900,150.363084
2016-02-25,150.800003,151.490005,147.050003,150.080002,639900,150.023216
2016-02-26,150.600006,151.380005,148.410004,150.050003,589500,149.993229
2016-02-29,150.0,151.059998,148.380005,148.440002,856100,148.383837
2016-03-01,149.919998,153.539993,149.289993,153.350006,622100,153.291983
2016-03-02,152.440002,153.820007,151.320007,152.169998,659200,152.112422
2016-03-03,151.339996,154.199997,149.869995,153.880005,785300,153.821781
2016-03-04,154.070007,154.270004,151.169998,152.369995,724900,152.312343
2016-03-07,151.369995,152.869995,150.380005,151.520004,481400,151.462674
2016-03-08,150.589996,152.649994,149.169998,149.679993,1016200,149.623358
2016-03-09,150.979996,154.089996,149.75,153.770004,627800,153.711822
