Date,Open_KSU,High_KSU,Low_KSU,Close_KSU,Volume_KSU,AdjClose_KSU
2014-07-31,109.690002,110.589996,108.550003,109.059998,627800,106.188435
2014-08-01,108.5,109.980003,107.349998,107.790001,680500,104.951878
2014-08-04,107.940002,108.889999,107.489998,108.800003,535600,105.935287
2014-08-05,108.0,108.900002,107.720001,108.360001,628800,105.50687
2014-08-06,107.589996,108.790001,107.379997,108.389999,610300,105.536078
2014-08-07,108.959999,109.650002,107.129997,107.400002,729200,104.572147
2014-08-08,107.889999,109.75,107.220001,109.660004,664600,106.772643
2014-08-11,110.199997,112.809998,109.959999,111.669998,890800,108.729714
2014-08-12,112.220001,112.580002,110.900002,111.470001,437400,108.534983
2014-08-13,111.949997,111.970001,110.720001,111.0,555000,108.077357
2014-08-14,111.379997,112.470001,110.779999,112.459999,394300,109.498915
2014-08-15,113.129997,113.169998,111.32,112.540001,574500,109.57681
2014-08-18,113.18,113.93,112.959999,113.400002,547000,110.414167
2014-08-19,113.68,113.989998,112.709999,112.949997,636000,109.976011
2014-08-20,112.970001,114.68,112.739998,114.519997,516800,111.504672
2014-08-21,114.900002,114.989998,113.650002,114.260002,424400,111.251523
2014-08-22,113.910004,114.18,113.290001,113.589996,446300,110.599159
2014-08-25,114.220001,114.75,113.309998,113.709999,326900,110.716002
2014-08-26,114.059998,114.25,113.050003,113.470001,369800,110.482323
2014-08-27,113.529999,114.629997,113.010002,114.57,408600,111.553359
2014-08-28,114.089996,114.720001,113.709999,114.389999,367800,111.378098
2014-08-29,114.389999,115.440002,113.949997,115.360001,522900,112.322559
2014-09-02,115.419998,117.0,115.419998,116.169998,835600,113.111229
2014-09-03,116.580002,116.989998,115.639999,115.730003,793300,112.682819
2014-09-04,115.559998,116.830002,115.449997,116.199997,787300,113.414834
2014-09-05,115.959999,117.43,115.510002,117.209999,719600,114.400628
2014-09-08,117.25,117.440002,115.800003,116.089996,689000,113.30747
2014-09-09,116.120003,116.290001,115.07,115.529999,304800,112.760895
2014-09-10,115.660004,115.75,114.540001,115.190002,513200,112.429048
2014-09-11,114.610001,115.870003,114.410004,115.650002,551700,112.878022
2014-09-12,115.830002,116.160004,114.879997,114.959999,624500,112.204558
2014-09-15,115.07,115.529999,114.269997,115.279999,532100,112.516887
2014-09-16,115.239998,119.25,114.559998,118.419998,1450100,115.581625
2014-09-17,119.32,122.879997,119.32,121.739998,1490100,118.822049
2014-09-18,121.82,122.449997,120.919998,121.860001,658300,118.939175
2014-09-19,122.25,122.519997,120.830002,121.43,810900,118.519481
2014-09-22,121.239998,121.940002,118.919998,119.660004,803300,116.791909
2014-09-23,119.18,120.080002,118.93,119.110001,722900,116.255089
2014-09-24,119.379997,121.040001,119.029999,120.949997,599200,118.050983
2014-09-25,120.68,120.68,118.410004,119.059998,633000,116.206285
2014-09-26,119.050003,120.75,118.629997,120.07,603000,117.192078
2014-09-29,119.470001,121.809998,118.699997,121.690002,678600,118.773252
2014-09-30,121.660004,123.949997,121.099998,121.199997,887900,118.294991
2014-10-01,120.110001,120.230003,116.139999,116.860001,1434600,114.059019
2014-10-02,116.75,118.809998,116.220001,118.57,827300,115.728031
2014-10-03,119.68,122.940002,119.519997,122.029999,1040600,119.105099
2014-10-06,123.019997,123.489998,120.5,120.550003,719800,117.660577
2014-10-07,119.610001,119.800003,116.849998,116.959999,1116700,114.15662
2014-10-08,116.639999,119.660004,115.199997,119.440002,832200,116.577181
2014-10-09,119.040001,119.220001,115.209999,115.669998,874300,112.897539
2014-10-10,115.599998,116.199997,112.529999,112.57,1295300,109.871844
2014-10-13,116.660004,124.68,111.290001,111.550003,2199700,108.876295
2014-10-14,112.900002,116.220001,112.349998,115.139999,1799200,112.380244
2014-10-15,113.510002,115.720001,112.110001,115.57,1681900,112.799937
2014-10-16,113.150002,118.279999,112.769997,116.410004,1498500,113.619808
2014-10-17,119.139999,119.419998,113.910004,115.790001,1956900,113.014666
2014-10-20,114.43,117.410004,114.339996,116.419998,1101800,113.629563
2014-10-21,117.400002,120.110001,116.910004,120.110001,1195000,117.23112
2014-10-22,119.889999,121.080002,116.660004,116.790001,1068900,113.990697
