Date,Open_SNI,High_SNI,Low_SNI,Close_SNI,Volume_SNI,AdjClose_SNI
2014-11-19,74.790001,75.639999,74.559998,75.489998,847800,73.564877
2014-11-20,75.169998,76.900002,75.169998,76.730003,936200,74.77326
2014-11-21,77.400002,77.419998,75.459999,76.209999,810900,74.266517
2014-11-24,76.550003,78.239998,76.040001,78.010002,1277500,76.020617
2014-11-25,77.809998,78.440002,77.199997,77.940002,901400,76.147628
2014-11-26,77.860001,78.220001,77.5,77.970001,549500,76.176937
2014-11-28,78.150002,78.239998,77.75,78.169998,237200,76.372335
2014-12-01,78.050003,78.550003,77.370003,77.910004,762100,76.11832
2014-12-02,78.220001,79.0,78.089996,78.970001,769800,77.153941
2014-12-03,79.080002,82.779999,78.68,80.519997,2271400,78.668291
2014-12-04,80.029999,80.260002,78.910004,79.870003,2040900,78.033245
2014-12-05,79.739998,80.93,79.690002,80.279999,1159100,78.433812
2014-12-08,79.970001,80.169998,78.18,78.309998,895100,76.509115
2014-12-09,77.470001,78.169998,76.839996,78.059998,970200,76.264864
2014-12-10,78.019997,78.459999,77.370003,77.610001,659700,75.825216
2014-12-11,77.760002,78.730003,77.150002,77.220001,643700,75.444185
2014-12-12,76.480003,77.459999,76.349998,76.589996,663500,74.828668
2014-12-15,76.889999,77.43,75.849998,75.870003,750600,74.125232
2014-12-16,75.769997,77.43,75.470001,76.25,828300,74.496491
2014-12-17,76.410004,78.209999,76.330002,77.849998,837800,76.059694
2014-12-18,78.540001,78.849998,77.669998,78.839996,1252700,77.026925
2014-12-19,79.300003,79.639999,77.610001,77.830002,1643500,76.040158
2014-12-22,77.800003,78.199997,76.75,77.169998,1175500,75.395332
2014-12-23,77.099998,78.519997,77.099998,77.690002,1459000,75.903378
2014-12-24,77.889999,79.540001,77.760002,78.540001,716600,76.733829
2014-12-26,78.849998,79.169998,77.730003,77.839996,430700,76.049922
2014-12-29,77.610001,78.029999,76.989998,77.370003,1376600,75.590737
2014-12-30,77.370003,77.550003,76.470001,76.519997,1025800,74.760278
2014-12-31,76.699997,76.989998,75.169998,75.269997,1451000,73.539024
2015-01-02,76.309998,77.650002,75.139999,75.940002,1410700,74.193622
2015-01-05,75.449997,75.449997,73.889999,74.230003,1212400,72.522948
2015-01-06,74.089996,74.860001,72.720001,72.75,902600,71.07698
2015-01-07,73.389999,73.5,72.239998,72.480003,869900,70.813192
2015-01-08,73.139999,75.459999,73.010002,75.199997,1233300,73.470634
2015-01-09,75.260002,75.790001,74.82,74.93,1176700,73.206847
2015-01-12,75.239998,75.940002,74.5,74.919998,910100,73.197075
2015-01-13,75.360001,76.589996,74.75,75.449997,819200,73.714885
2015-01-14,74.440002,74.550003,72.669998,73.75,825900,72.053983
2015-01-15,73.949997,73.949997,72.870003,72.93,461600,71.252841
2015-01-16,72.93,73.949997,72.860001,73.57,732600,71.878122
2015-01-20,73.5,73.5,71.0,71.739998,1025600,70.090204
2015-01-21,71.440002,72.449997,71.199997,71.68,775500,70.031587
2015-01-22,71.879997,73.209999,71.879997,73.010002,626600,71.331003
2015-01-23,72.860001,73.5,72.220001,72.690002,737700,71.018362
2015-01-26,72.550003,73.779999,72.470001,73.489998,844100,71.79996
