Date,Open_COF,High_COF,Low_COF,Close_COF,Volume_COF,AdjClose_COF
2014-05-23,76.43,77.279999,76.43,77.190002,1702000,74.284343
2014-05-27,77.190002,78.199997,77.160004,77.75,2028500,74.82326
2014-05-28,77.980003,78.879997,77.93,78.550003,2939400,75.593149
2014-05-29,78.589996,78.900002,78.169998,78.720001,2464100,75.756748
2014-05-30,78.650002,79.239998,78.610001,78.889999,2424900,75.920347
2014-06-02,78.919998,79.029999,78.199997,78.629997,2454500,75.670132
2014-06-03,78.470001,79.07,78.110001,78.779999,2410700,75.814487
2014-06-04,78.690002,79.279999,78.599998,79.18,2094400,76.199431
2014-06-05,78.900002,79.970001,78.809998,79.82,2088300,76.815339
2014-06-06,79.910004,80.970001,79.779999,80.800003,2650900,77.758452
2014-06-09,81.0,82.32,80.959999,81.989998,3341000,78.903652
2014-06-10,81.809998,81.959999,81.480003,81.709999,2537600,78.634193
2014-06-11,81.57,81.57,80.300003,80.830002,3373700,77.787322
2014-06-12,80.610001,81.260002,80.610001,80.93,2920700,77.883556
2014-06-13,80.910004,81.040001,80.129997,80.470001,3259900,77.440873
2014-06-16,80.379997,81.400002,80.150002,81.040001,3273000,77.989416
2014-06-17,80.82,81.550003,80.769997,80.900002,5594400,77.854686
2014-06-18,80.82,81.739998,80.199997,81.650002,5820200,78.576454
2014-06-19,81.970001,82.220001,81.339996,82.0,3867100,78.913278
2014-06-20,82.400002,83.889999,82.379997,83.43,6220000,80.289448
2014-06-23,83.18,83.57,82.75,83.489998,3117500,80.347188
2014-06-24,83.349998,83.720001,82.419998,82.449997,3538400,79.346335
2014-06-25,82.139999,82.589996,81.940002,82.330002,2554600,79.230857
2014-06-26,82.25,82.519997,81.540001,82.489998,1977300,79.384831
2014-06-27,81.059998,83.190002,81.059998,83.010002,2723100,79.88526
2014-06-30,83.0,83.080002,82.480003,82.599998,2349100,79.49069
2014-07-01,83.120003,83.529999,82.879997,83.019997,3252600,79.894879
2014-07-02,83.290001,83.68,83.150002,83.599998,2830400,80.453047
2014-07-03,84.199997,84.980003,83.910004,84.949997,2811500,81.752228
2014-07-07,84.309998,84.599998,83.290001,83.57,2501800,80.424178
2014-07-08,83.290001,83.610001,82.889999,83.230003,2640700,80.09698
2014-07-09,84.150002,84.949997,83.68,84.389999,2773000,81.21331
2014-07-10,83.040001,84.080002,82.989998,83.690002,2401700,80.539663
2014-07-11,83.769997,84.080002,83.32,83.959999,1934500,80.799497
2014-07-14,84.639999,84.900002,83.889999,84.010002,2608500,80.847617
2014-07-15,84.389999,85.389999,84.339996,84.900002,3029200,81.704115
2014-07-16,85.050003,85.160004,84.059998,84.379997,3356700,81.203685
2014-07-17,84.07,84.279999,82.410004,82.489998,4083900,79.384831
2014-07-18,83.68,83.900002,82.059998,82.290001,6368300,79.192362
2014-07-21,82.32,82.419998,81.779999,81.919998,3595400,78.836287
2014-07-22,81.910004,82.389999,81.889999,82.120003,3966300,79.028763
2014-07-23,82.330002,82.389999,81.949997,81.989998,2851400,78.903652
2014-07-24,82.540001,82.610001,82.169998,82.400002,3620000,79.298222
2014-07-25,82.110001,82.519997,81.57,81.650002,2929600,78.576454
2014-07-28,83.110001,83.519997,81.160004,81.529999,2386600,78.460969
2014-07-29,81.529999,81.910004,81.18,81.190002,2139100,78.133771
2014-07-30,81.480003,81.800003,81.019997,81.559998,2806300,78.489838
2014-07-31,81.110001,81.18,79.540001,79.540001,3243200,76.54588
2014-08-01,79.040001,80.019997,78.870003,79.489998,4016700,76.497759
2014-08-04,79.800003,80.220001,79.400002,80.220001,5056900,77.200283
2014-08-05,79.709999,79.919998,78.650002,78.790001,3695200,75.824112
2014-08-06,78.379997,79.080002,78.25,78.760002,2820900,75.795243
2014-08-07,78.849998,78.919998,77.879997,78.040001,2346400,75.389503
2014-08-08,78.120003,78.900002,77.699997,78.879997,2279600,76.20097
2014-08-11,79.029999,79.339996,78.589996,78.709999,1745100,76.036746
2014-08-12,78.389999,79.419998,78.389999,79.339996,2927200,76.645346
2014-08-13,79.639999,79.959999,79.389999,79.879997,2594000,77.167007
2014-08-14,79.910004,80.150002,79.629997,79.790001,1611100,77.080067
2014-08-15,80.169998,80.239998,78.739998,79.300003,2364900,76.606711
2014-08-18,79.870003,80.419998,79.769997,80.419998,3003500,77.688668
2014-08-19,80.629997,80.68,80.419998,80.480003,1687500,77.746635
2014-08-20,80.449997,81.019997,80.260002,80.919998,2159600,78.171686
2014-08-21,81.209999,81.82,80.970001,81.690002,2863900,78.915539
2014-08-22,81.650002,82.0,81.199997,81.300003,1458800,78.538785
2014-08-25,81.870003,82.660004,81.82,82.059998,2188200,79.272967
2014-08-26,82.129997,82.25,81.739998,81.800003,1458000,79.021803
2014-08-27,81.989998,82.019997,81.690002,81.959999,1556800,79.176365
2014-08-28,81.5,81.790001,81.209999,81.589996,1200600,78.818929
2014-08-29,82.050003,82.419998,81.790001,82.059998,1897900,79.272967
2014-09-02,82.339996,82.690002,81.870003,82.580002,2808900,79.775311
2014-09-03,82.809998,82.93,82.440002,82.529999,2207400,79.727006
2014-09-04,82.68,83.099998,82.18,82.5,1892600,79.698026
2014-09-05,82.5,82.849998,82.139999,82.690002,1620600,79.881575
2014-09-08,82.419998,82.779999,81.849998,82.080002,1906600,79.292292
2014-09-09,81.989998,82.059998,81.480003,81.519997,1945700,78.751307
2014-09-10,81.610001,82.230003,81.199997,81.230003,3078700,78.471163
2014-09-11,81.040001,81.339996,80.93,81.230003,2129800,78.471163
2014-09-12,81.120003,81.220001,80.660004,80.940002,2949600,78.191011
2014-09-15,81.120003,81.779999,80.919998,81.5,3621100,78.731989
2014-09-16,81.550003,82.489998,81.25,82.18,2891500,79.388894
2014-09-17,82.480003,83.269997,82.129997,82.879997,4075000,80.065117
2014-09-18,83.160004,83.989998,82.970001,83.669998,4199200,80.828287
2014-09-19,84.419998,84.660004,83.889999,84.07,4328500,81.214703
2014-09-22,83.93,84.349998,83.25,83.290001,2112500,80.461196
2014-09-23,82.809998,83.199997,82.040001,82.050003,2805900,79.263312
2014-09-24,82.209999,82.519997,81.660004,82.419998,2158900,79.620741
2014-09-25,82.269997,82.510002,81.010002,81.010002,3232300,78.258633
2014-09-26,81.050003,81.809998,80.879997,81.610001,2292000,78.838254
2014-09-29,80.790001,82.029999,80.75,81.830002,3133600,79.050783
2014-09-30,81.940002,82.400002,81.559998,81.620003,3460900,78.847916
2014-10-01,81.75,81.910004,80.57,80.610001,3336100,77.872217
2014-10-02,80.68,81.5,80.139999,81.129997,2721800,78.374553
2014-10-03,82.080002,82.660004,82.029999,82.279999,3397200,79.485497
2014-10-06,82.809998,82.989998,81.82,82.220001,1952600,79.427537
2014-10-07,81.540001,81.809998,80.82,80.82,3123900,78.075084
2014-10-08,81.110001,82.940002,80.709999,82.760002,3370700,79.949197
2014-10-09,82.610001,83.099998,81.330002,81.440002,2954700,78.674029
2014-10-10,81.440002,82.139999,80.339996,80.360001,2738900,77.630708
2014-10-13,80.230003,80.809998,79.410004,79.480003,2987200,76.780598
2014-10-14,79.610001,80.480003,79.540001,80.029999,2889600,77.311914
2014-10-15,79.050003,80.190002,77.830002,79.209999,7118000,76.519764
2014-10-16,77.849998,79.459999,77.260002,78.529999,5980200,75.862859
2014-10-17,75.989998,76.769997,75.080002,76.43,9753000,73.834184
2014-10-20,76.230003,76.730003,76.0,76.5,4578800,73.901806
2014-10-21,77.290001,78.739998,76.690002,78.699997,4667400,76.027084
2014-10-22,78.510002,78.769997,77.800003,77.849998,3531500,75.205954
2014-10-23,78.68,78.919998,78.209999,78.389999,2306300,75.727615
2014-10-24,78.650002,79.349998,78.440002,79.269997,2289700,76.577724
2014-10-27,79.25,79.68,78.860001,79.040001,2675700,76.35554
2014-10-28,79.610001,80.800003,79.550003,80.690002,2251700,77.949502
2014-10-29,80.830002,81.800003,80.580002,81.290001,2509500,78.529122
2014-10-30,81.400002,82.360001,81.209999,81.730003,2227400,78.954181
2014-10-31,82.870003,83.07,82.43,82.769997,2666600,79.958853
2014-11-03,83.0,83.32,82.510002,82.669998,2061000,79.86225
