Date,Open_MUR,High_MUR,Low_MUR,Close_MUR,Volume_MUR,AdjClose_MUR
2014-05-28,60.740002,60.880001,60.369999,60.59,1164700,55.811498
2014-05-29,60.84,61.900002,60.689999,61.84,1337100,56.962915
2014-05-30,61.5,61.880001,61.259998,61.669998,1673900,56.806321
2014-06-02,61.959999,62.200001,61.490002,62.049999,972300,57.156353
2014-06-03,61.950001,62.099998,61.57,62.0,1263800,57.110297
2014-06-04,61.970001,62.450001,61.740002,62.169998,927500,57.266888
2014-06-05,62.139999,62.619999,61.860001,62.470001,689400,57.543231
2014-06-06,62.630001,63.32,62.439999,63.16,712200,58.178812
2014-06-09,63.16,63.91,63.099998,63.799999,678600,58.768337
2014-06-10,63.240002,63.740002,63.099998,63.240002,1605300,58.252504
2014-06-11,63.130001,63.759998,63.02,63.630001,989100,58.611746
2014-06-12,63.990002,64.830002,63.830002,64.139999,1081800,59.081522
2014-06-13,64.309998,65.330002,64.010002,65.279999,1288700,60.131614
2014-06-16,65.279999,65.599998,64.910004,65.349998,1015100,60.196093
2014-06-17,64.989998,65.110001,64.18,64.709999,1271900,59.606568
2014-06-18,64.650002,65.029999,64.309998,64.889999,1226500,59.772373
2014-06-19,64.910004,65.559998,64.540001,65.559998,923300,60.389531
2014-06-20,65.860001,66.110001,65.410004,66.010002,1712800,60.804045
2014-06-23,66.559998,67.07,66.370003,66.82,1093600,61.550161
2014-06-24,66.800003,66.910004,64.800003,64.889999,1119900,59.772373
2014-06-25,64.639999,65.940002,64.389999,65.779999,1218400,60.592181
2014-06-26,65.839996,66.43,65.360001,66.150002,961600,60.933003
2014-06-27,66.019997,66.860001,66.019997,66.68,1264000,61.421203
2014-06-30,66.699997,66.699997,66.269997,66.480003,1152400,61.236979
2014-07-01,66.779999,66.879997,66.379997,66.620003,1054300,61.365937
2014-07-02,66.449997,66.870003,66.269997,66.739998,790600,61.476469
2014-07-03,66.980003,66.980003,66.68,66.760002,679900,61.494896
2014-07-07,66.389999,67.059998,66.120003,67.0,1540600,61.715966
2014-07-08,66.769997,67.0,65.769997,66.199997,1532500,60.979056
2014-07-09,66.230003,66.559998,65.699997,66.050003,1141000,60.840891
2014-07-10,65.389999,65.709999,64.910004,65.449997,1191000,60.288205
2014-07-11,65.5,65.709999,65.190002,65.239998,1350700,60.094768
2014-07-14,65.449997,65.919998,65.059998,65.639999,839700,60.463223
2014-07-15,65.379997,65.589996,64.300003,65.029999,1183300,59.901331
