Date,Open_GPC,High_GPC,Low_GPC,Close_GPC,Volume_GPC,AdjClose_GPC
2014-12-05,103.75,104.059998,102.919998,103.25,394800,99.041489
2014-12-08,103.129997,103.75,102.349998,102.779999,379100,98.590645
2014-12-09,102.059998,103.0,101.879997,102.790001,546500,98.60024
2014-12-10,102.800003,103.720001,101.839996,101.93,569100,97.775293
2014-12-11,102.699997,104.43,102.470001,103.269997,542200,99.06067
2014-12-12,102.709999,103.669998,102.389999,102.459999,545100,98.283689
2014-12-15,102.18,103.150002,101.650002,101.650002,968100,97.506707
2014-12-16,101.720001,103.949997,101.379997,102.309998,641300,98.139801
2014-12-17,102.860001,104.099998,102.010002,103.900002,510900,99.664996
2014-12-18,105.120003,105.470001,104.309998,105.470001,764300,101.171002
2014-12-19,106.120003,106.800003,105.75,105.879997,1030700,101.564286
2014-12-22,106.239998,106.75,105.75,106.459999,384800,102.120647
2014-12-23,106.75,108.029999,106.610001,107.830002,402500,103.434808
2014-12-24,107.949997,108.110001,107.309998,107.620003,187500,103.233369
2014-12-26,107.889999,108.5,107.739998,107.860001,244400,103.463584
2014-12-29,107.629997,109.0,107.220001,108.309998,435100,103.895239
2014-12-30,107.889999,108.290001,107.480003,107.75,399200,103.358067
2014-12-31,107.730003,108.599998,106.57,106.57,592900,102.226164
2015-01-02,107.400002,108.07,105.510002,106.519997,580400,102.178199
2015-01-05,106.330002,106.769997,105.440002,105.839996,1171600,101.525916
2015-01-06,100.910004,104.110001,100.25,101.5,2292400,97.36282
2015-01-07,102.5,103.269997,102.110001,103.050003,1083800,98.849644
2015-01-08,103.709999,104.230003,102.580002,103.269997,1218800,99.06067
2015-01-09,103.209999,103.220001,100.980003,101.370003,1103900,97.238121
