Date,Open_BLL,High_BLL,Low_BLL,Close_BLL,Volume_BLL,AdjClose_BLL
2015-10-29,67.089996,68.120003,66.349998,67.32,875200,66.940702
2015-10-30,67.639999,69.349998,67.330002,68.5,1459900,68.114054
2015-11-02,68.550003,70.489998,68.510002,70.239998,1279400,69.844248
2015-11-03,70.059998,70.190002,67.760002,67.82,1000400,67.437885
2015-11-04,67.870003,68.190002,67.150002,67.419998,888200,67.040137
2015-11-05,67.529999,67.980003,67.040001,67.790001,703700,67.408055
2015-11-06,67.419998,68.07,66.610001,67.779999,592500,67.398109
2015-11-09,67.809998,67.809998,66.190002,66.339996,1179700,65.96622
2015-11-10,66.860001,67.790001,66.080002,67.769997,831900,67.388164
2015-11-11,67.940002,68.309998,67.57,68.18,527400,67.795857
2015-11-12,67.68,67.809998,65.389999,65.419998,931100,65.051406
2015-11-13,65.510002,66.25,64.919998,65.919998,660000,65.548589
2015-11-16,65.800003,66.519997,65.389999,66.279999,688600,65.906561
2015-11-17,66.459999,66.879997,65.730003,66.129997,624300,65.757404
