Date,Open_ZBH,High_ZBH,Low_ZBH,Close_ZBH,Volume_ZBH,AdjClose_ZBH
2015-04-21,116.389999,117.790001,116.339996,117.370003,824400,116.347378
2015-04-22,117.120003,118.269997,116.57,117.489998,731600,116.466328
2015-04-23,117.360001,119.099998,116.709999,118.57,740500,117.53692
2015-04-24,118.089996,118.919998,117.730003,118.760002,737600,117.725267
2015-04-27,119.0,119.0,116.349998,116.610001,820400,115.593998
2015-04-28,116.040001,117.160004,114.519997,116.730003,1130200,115.712955
2015-04-29,116.43,116.790001,114.830002,115.339996,1305100,114.335059
2015-04-30,111.589996,112.010002,108.540001,109.839996,3317600,108.882979
2015-05-01,110.169998,111.129997,109.480003,110.43,1413500,109.467843
2015-05-04,110.720001,111.650002,110.410004,110.68,1297700,109.715664
2015-05-05,110.690002,110.870003,109.550003,110.510002,2116200,109.547147
2015-05-06,110.860001,111.330002,109.230003,110.099998,1919400,109.140716
2015-05-07,110.379997,111.330002,110.07,111.040001,1668300,110.072528
2015-05-08,112.199997,113.099998,111.709999,112.949997,1244700,111.965883
2015-05-11,112.57,113.75,112.379997,113.18,1409600,112.193882
2015-05-12,112.510002,112.940002,111.629997,112.239998,2028800,111.26207
2015-05-13,112.639999,112.709999,111.730003,111.839996,953100,111.083291
2015-05-14,112.739998,113.650002,112.139999,113.57,1270500,112.801589
2015-05-15,113.529999,113.760002,112.809998,113.18,783300,112.414229
2015-05-18,113.360001,114.559998,113.120003,114.279999,598000,113.506785
2015-05-19,114.209999,114.760002,113.730003,114.339996,706900,113.566376
2015-05-20,114.379997,114.910004,113.919998,114.339996,441200,113.566376
2015-05-21,114.019997,114.529999,113.900002,114.459999,584000,113.685567
2015-05-22,114.080002,114.470001,113.230003,113.769997,1013300,113.000233
2015-05-26,113.790001,113.790001,112.709999,113.089996,1136600,112.324834
2015-05-27,113.690002,114.43,112.709999,114.269997,869300,113.49685
2015-05-28,113.949997,114.349998,112.75,113.389999,1830900,112.622807
2015-05-29,112.989998,114.870003,112.559998,114.089996,1796700,113.318068
2015-06-01,114.580002,115.220001,113.940002,114.769997,887100,113.993467
2015-06-02,114.139999,114.830002,113.989998,114.160004,684400,113.387601
2015-06-03,114.269997,114.68,113.660004,113.900002,720000,113.129358
2015-06-04,112.93,114.190002,112.82,113.07,895700,112.304972
2015-06-05,113.0,113.400002,112.339996,113.25,952000,112.483755
2015-06-08,113.540001,114.470001,113.089996,113.139999,876100,112.374498
2015-06-09,113.07,113.889999,112.57,112.639999,855400,111.877881
2015-06-10,113.260002,114.010002,112.589996,113.660004,1300200,112.890984
2015-06-11,113.889999,114.360001,113.610001,114.110001,1405700,113.337937
2015-06-12,113.330002,113.709999,112.050003,112.199997,1243000,111.440856
2015-06-15,111.519997,112.019997,110.949997,111.669998,1100100,110.914443
2015-06-16,111.639999,112.839996,111.279999,112.550003,755400,111.788494
2015-06-17,113.019997,113.279999,111.739998,112.5,656400,111.738829
2015-06-18,113.040001,113.769997,112.959999,113.300003,1012900,112.53342
2015-06-19,113.400002,113.769997,112.57,112.660004,1616600,111.89775
2015-06-22,113.279999,113.919998,112.980003,113.400002,824600,112.632741
2015-06-23,113.699997,113.769997,112.199997,112.68,825700,111.917612
2015-06-24,112.5,115.5,112.160004,113.519997,3486800,112.751925
2015-06-25,113.529999,114.209999,112.919998,113.269997,1580400,112.503616
2015-06-26,113.699997,114.089996,113.110001,113.559998,1802600,112.791655
2015-06-29,107.0,114.410004,97.480003,109.290001,1561000,108.550549
