Date,Open_RTN,High_RTN,Low_RTN,Close_RTN,Volume_RTN,AdjClose_RTN
2014-06-13,95.699997,96.769997,95.449997,96.589996,1107200,92.009967
2014-06-16,96.459999,97.389999,96.169998,97.099998,1023400,92.495786
2014-06-17,96.860001,97.160004,95.82,95.830002,1578200,91.286009
2014-06-18,95.989998,96.32,94.919998,95.739998,1051600,91.200273
2014-06-19,95.639999,96.25,95.489998,95.849998,1330500,91.305058
2014-06-20,96.269997,97.230003,96.25,96.769997,1911100,92.181432
2014-06-23,97.040001,97.040001,95.449997,95.830002,889300,91.286009
2014-06-24,95.529999,96.0,94.190002,94.230003,1129200,89.761878
2014-06-25,94.209999,94.849998,93.529999,94.709999,1585000,90.219114
2014-06-26,94.559998,94.559998,93.639999,94.080002,1161500,89.618989
2014-06-27,94.120003,94.449997,93.75,94.400002,1895000,89.923816
2014-06-30,93.82,93.839996,92.099998,92.25,1625500,88.442582
2014-07-01,91.669998,93.629997,90.370003,93.099998,2129800,89.257499
2014-07-02,93.099998,93.559998,92.220001,92.470001,1136500,88.653504
2014-07-03,93.389999,93.5,92.480003,93.220001,808800,89.372549
2014-07-07,93.290001,93.389999,92.099998,92.290001,1235900,88.480932
2014-07-08,92.029999,92.220001,91.07,91.199997,1417300,87.435916
2014-07-09,91.739998,91.870003,91.0,91.860001,1547700,88.068679
2014-07-10,90.75,92.68,90.75,92.099998,1523400,88.298772
2014-07-11,92.129997,93.300003,91.910004,92.959999,1515500,89.123278
2014-07-14,93.389999,94.129997,93.120003,93.959999,1763400,90.082005
2014-07-15,94.059998,95.260002,93.970001,94.559998,1583200,90.65724
2014-07-16,95.019997,95.120003,94.110001,94.629997,1202700,90.724351
2014-07-17,94.18,95.139999,93.639999,94.150002,1077100,90.264166
2014-07-18,94.370003,94.959999,94.0,94.849998,1168700,90.935272
2014-07-21,94.860001,95.980003,94.849998,95.82,1023300,91.865238
2014-07-22,96.0,97.010002,95.790001,96.860001,2307800,92.862315
2014-07-23,96.400002,96.540001,95.339996,95.370003,1674700,91.433814
2014-07-24,95.0,95.389999,93.480003,93.550003,2278100,89.688931
2014-07-25,93.269997,93.540001,91.970001,92.07,1978600,88.270011
2014-07-28,92.230003,93.529999,91.559998,93.279999,1806800,89.43007
2014-07-29,93.059998,93.389999,92.489998,92.489998,1607300,88.672675
2014-07-30,92.889999,93.419998,92.059998,92.620003,1285600,88.797314
2014-07-31,92.019997,92.150002,90.760002,90.769997,1928000,87.023663
2014-08-01,90.870003,92.239998,90.870003,91.790001,1671600,88.001569
2014-08-04,91.790001,92.0,90.940002,91.550003,1916800,87.771476
2014-08-05,91.209999,92.790001,90.970001,91.57,1473900,87.790648
2014-08-06,90.489998,90.910004,89.260002,89.519997,2271900,85.825254
2014-08-07,90.260002,90.400002,89.169998,89.43,1537700,85.738972
2014-08-08,89.730003,91.660004,89.610001,91.610001,1450100,87.828998
2014-08-11,91.959999,92.160004,91.330002,91.410004,1210900,87.637255
2014-08-12,91.580002,92.25,91.18,91.379997,1092800,87.608487
2014-08-13,91.739998,93.790001,91.739998,93.639999,1392300,89.775213
2014-08-14,93.529999,93.879997,93.25,93.410004,1206700,89.554709
2014-08-15,93.720001,93.980003,92.739998,93.449997,1144000,89.593052
2014-08-18,93.900002,94.980003,93.900002,94.800003,1070200,90.88734
2014-08-19,94.639999,95.220001,94.449997,95.059998,1495900,91.136603
2014-08-20,95.199997,96.849998,94.919998,96.660004,1829600,92.670573
2014-08-21,96.739998,97.0,96.419998,96.580002,975800,92.593873
2014-08-22,96.43,97.239998,96.349998,96.580002,842400,92.593873
2014-08-25,97.0,97.209999,96.720001,97.07,624300,93.063647
2014-08-26,97.129997,97.220001,96.580002,96.610001,697100,92.622634
