Date,Open_SHW,High_SHW,Low_SHW,Close_SHW,Volume_SHW,AdjClose_SHW
2015-10-07,232.759995,241.059998,232.5,239.119995,837300,237.06516
2015-10-08,239.100006,244.820007,237.710007,244.210007,734100,242.111432
2015-10-09,243.919998,246.009995,241.130005,242.860001,682500,240.773027
2015-10-12,242.009995,244.169998,241.360001,243.770004,467400,241.67521
2015-10-13,241.860001,244.990005,241.0,244.899994,812000,242.79549
2015-10-14,243.509995,245.229996,242.300003,242.509995,749400,240.426028
2015-10-15,240.789993,241.199997,235.800003,236.080002,1776400,234.051291
2015-10-16,236.470001,243.470001,235.630005,243.169998,1137100,241.08036
2015-10-19,242.070007,244.110001,238.929993,242.869995,872800,240.782935
2015-10-20,242.759995,243.720001,238.440002,239.600006,811800,237.541046
2015-10-21,240.550003,241.949997,236.259995,238.360001,899300,236.311697
2015-10-22,240.770004,247.429993,238.660004,246.929993,1012600,244.808044
2015-10-23,249.259995,249.929993,243.509995,245.770004,616000,243.658024
2015-10-26,246.889999,247.720001,243.339996,247.240005,736300,245.115393
2015-10-27,245.0,245.0,240.289993,241.910004,1022600,239.831193
2015-10-28,242.330002,247.309998,241.25,246.759995,1348700,244.639507
