Date,Open_PXD,High_PXD,Low_PXD,Close_PXD,Volume_PXD,AdjClose_PXD
2014-05-15,203.380005,203.729996,199.199997,202.300003,1456600,202.084177
2014-05-16,201.850006,202.639999,198.440002,202.520004,822100,202.303943
2014-05-19,202.809998,205.589996,200.979996,202.860001,639100,202.643577
2014-05-20,201.919998,202.990005,200.0,200.770004,813900,200.55581
2014-05-21,202.5,205.139999,201.360001,204.740005,908600,204.521576
2014-05-22,203.860001,205.820007,202.429993,202.809998,940300,202.593627
2014-05-23,203.440002,204.330002,201.850006,202.309998,704200,202.09416
2014-05-27,203.809998,204.5,201.759995,203.520004,954300,203.302876
2014-05-28,204.380005,204.490005,202.149994,202.960007,900400,202.743476
2014-05-29,204.320007,211.470001,203.5,210.149994,1865400,209.925793
2014-05-30,209.470001,211.149994,208.669998,210.160004,1282600,209.935792
2014-06-02,211.369995,211.479996,208.320007,209.279999,1029100,209.056726
2014-06-03,207.929993,214.740005,207.809998,214.300003,1480700,214.071374
2014-06-04,214.229996,215.710007,211.639999,214.529999,966500,214.301125
2014-06-05,214.059998,217.399994,213.880005,215.009995,1208300,214.780608
2014-06-06,215.940002,219.759995,215.440002,218.929993,965900,218.696424
2014-06-09,219.740005,221.759995,217.869995,220.470001,966200,220.23479
2014-06-10,221.759995,222.0,218.559998,219.199997,837900,218.96614
2014-06-11,217.779999,224.25,217.020004,223.789993,1150700,223.55124
2014-06-12,224.429993,228.770004,222.539993,223.0,1750300,222.762089
2014-06-13,224.0,227.0,222.020004,226.949997,1276900,226.707872
2014-06-16,226.899994,227.990005,225.020004,227.380005,897200,227.137421
2014-06-17,225.720001,226.75,223.679993,226.470001,835200,226.228389
2014-06-18,226.050003,228.660004,225.429993,228.5,841800,228.256222
2014-06-19,228.139999,230.029999,227.220001,229.970001,1229600,229.724655
2014-06-20,230.160004,232.419998,228.169998,232.300003,1514300,232.052171
2014-06-23,232.5,233.919998,230.820007,232.770004,1120600,232.52167
2014-06-24,233.149994,234.199997,220.919998,221.649994,1881700,221.413524
2014-06-25,226.399994,233.880005,225.179993,233.070007,3201500,232.821353
2014-06-26,231.990005,232.520004,225.850006,228.160004,1561400,227.916588
2014-06-27,227.119995,227.690002,224.710007,226.289993,1988100,226.048573
2014-06-30,226.850006,229.970001,224.970001,229.809998,997700,229.564822
2014-07-01,231.410004,232.160004,227.229996,228.75,1030400,228.505955
2014-07-02,227.5,228.0,223.5,224.550003,1106800,224.310439
2014-07-03,225.410004,226.389999,223.029999,224.979996,691300,224.739973
2014-07-07,223.610001,224.960007,222.5,223.130005,604300,222.891956
2014-07-08,222.880005,224.960007,221.550003,224.009995,1536900,223.771006
2014-07-09,224.160004,226.5,223.539993,226.039993,767800,225.798839
2014-07-10,222.800003,225.369995,221.660004,224.139999,1028100,223.900873
2014-07-11,223.320007,224.699997,220.479996,222.419998,1017100,222.182706
2014-07-14,223.429993,225.479996,222.410004,224.660004,854500,224.420322
2014-07-15,224.199997,224.429993,216.929993,219.910004,1666300,219.67539
2014-07-16,221.820007,226.710007,220.779999,225.690002,1185500,225.449222
2014-07-17,226.009995,229.009995,222.070007,222.580002,900700,222.342539
2014-07-18,223.039993,224.289993,221.399994,223.100006,795600,222.861989
2014-07-21,222.330002,227.860001,221.339996,227.660004,956800,227.417122
2014-07-22,228.369995,229.889999,227.160004,229.169998,1147900,228.925505
2014-07-23,228.410004,232.110001,226.800003,231.75,972200,231.502754
2014-07-24,231.710007,234.600006,230.009995,232.279999,1052100,232.032188
2014-07-25,231.0,231.759995,229.410004,231.380005,844500,231.133154
2014-07-28,230.5,231.279999,227.169998,227.5,971800,227.257289
2014-07-29,227.899994,230.860001,226.559998,228.960007,856600,228.715738
2014-07-30,229.660004,231.050003,226.440002,227.119995,739900,226.877689
2014-07-31,226.490005,226.490005,220.509995,221.460007,1281100,221.223739
2014-08-01,219.309998,224.220001,210.619995,216.460007,3511200,216.229073
2014-08-04,216.839996,223.399994,214.729996,222.410004,1439700,222.172723
2014-08-05,217.339996,219.860001,208.100006,209.979996,3084400,209.755976
2014-08-06,208.899994,213.990005,205.240005,206.360001,2050700,206.139843
2014-08-07,207.600006,207.619995,201.759995,205.710007,1462400,205.490542
2014-08-08,206.770004,210.669998,204.759995,210.110001,1145000,209.885842
2014-08-11,211.529999,211.869995,208.360001,208.839996,838000,208.617193
2014-08-12,207.600006,208.330002,202.699997,204.580002,960700,204.361743
