Date,Open_NSC,High_NSC,Low_NSC,Close_NSC,Volume_NSC,AdjClose_NSC
2015-05-15,97.07,97.720001,96.629997,97.559998,1940700,94.676929
2015-05-18,97.440002,98.169998,97.199997,97.970001,1647900,95.074817
2015-05-19,97.849998,98.25,97.07,97.279999,1287500,94.405205
2015-05-20,96.400002,96.940002,95.730003,96.059998,1559200,93.221257
2015-05-21,96.059998,98.120003,96.0,97.110001,2503700,94.240231
2015-05-22,96.860001,97.290001,95.510002,95.529999,1988300,92.706921
2015-05-26,95.559998,95.949997,94.330002,94.57,1740700,91.775291
2015-05-27,95.080002,95.230003,94.239998,94.830002,1582600,92.02761
2015-05-28,94.5,94.550003,92.800003,93.709999,2114900,90.940705
2015-05-29,93.480003,93.510002,91.849998,92.0,2521200,89.28124
2015-06-01,92.480003,93.059998,91.849998,92.760002,1598500,90.018782
2015-06-02,92.540001,93.809998,92.279999,92.699997,1777100,89.96055
2015-06-03,92.650002,93.580002,92.029999,92.5,1568100,89.766464
2015-06-04,92.010002,93.059998,91.589996,91.959999,2135700,89.242421
2015-06-05,92.25,92.739998,91.860001,92.510002,1624400,89.77617
2015-06-08,92.269997,92.410004,90.980003,91.059998,1480200,88.369016
2015-06-09,91.0,91.25,90.389999,90.440002,1473200,87.767343
2015-06-10,91.0,91.0,89.730003,90.540001,1981100,87.864386
2015-06-11,90.82,92.790001,90.419998,92.529999,2996700,89.795576
2015-06-12,91.889999,92.839996,91.370003,91.699997,1965700,88.990102
2015-06-15,91.239998,91.910004,90.889999,91.360001,1331500,88.660153
2015-06-16,91.220001,91.989998,91.169998,91.360001,1132900,88.660153
2015-06-17,91.419998,91.839996,91.0,91.699997,1439200,88.990102
2015-06-18,91.949997,93.239998,91.830002,92.959999,1742800,90.212869
2015-06-19,92.669998,93.120003,92.07,92.32,2141200,89.591783
2015-06-22,92.669998,93.300003,92.389999,92.809998,1575600,90.0673
2015-06-23,92.720001,93.089996,92.25,92.309998,1546600,89.582076
