Date,Open_AXP,High_AXP,Low_AXP,Close_AXP,Volume_AXP,AdjClose_AXP
2014-09-26,87.160004,88.669998,86.949997,88.370003,4480300,86.105591
2014-09-29,87.629997,88.029999,87.139999,87.949997,3304100,85.696347
2014-09-30,88.199997,88.32,87.349998,87.540001,3867100,85.296857
2014-10-01,86.900002,87.309998,85.510002,85.809998,4777800,83.860258
2014-10-02,86.389999,86.5,85.059998,85.870003,4216800,83.9189
2014-10-03,86.660004,87.309998,86.220001,87.160004,4601400,85.17959
2014-10-06,87.68,87.970001,86.760002,87.029999,3147300,85.052539
2014-10-07,86.449997,86.449997,85.330002,85.349998,3905000,83.410711
2014-10-08,85.410004,87.470001,85.0,87.410004,4238200,85.42391
2014-10-09,87.330002,87.980003,85.82,85.889999,5394400,83.938442
2014-10-10,85.779999,86.699997,84.989998,84.989998,4226400,83.05889
2014-10-13,84.760002,85.25,82.610001,82.779999,5072300,80.899106
2014-10-14,83.269997,83.389999,82.510002,82.739998,6165000,80.860014
2014-10-15,81.300003,81.790001,78.410004,80.93,9155600,79.091142
2014-10-16,80.290001,81.470001,78.809998,80.239998,9159300,78.416818
2014-10-17,80.910004,84.519997,80.900002,82.580002,9175000,80.703653
2014-10-20,82.790001,84.099998,82.629997,84.010002,5231100,82.101161
2014-10-21,84.699997,85.660004,84.440002,85.639999,4847100,83.694123
2014-10-22,85.620003,85.870003,83.93,83.959999,5182200,82.052295
2014-10-23,85.129997,85.849998,84.870003,85.610001,5000300,83.664805
2014-10-24,85.690002,86.43,85.589996,86.400002,3608000,84.436856
2014-10-27,86.010002,86.75,85.760002,86.629997,3610100,84.661626
2014-10-28,87.07,88.010002,86.959999,88.010002,3598400,86.010275
2014-10-29,88.239998,88.989998,87.650002,88.339996,4592500,86.332771
2014-10-30,88.589996,89.489998,88.199997,88.739998,5069300,86.723684
2014-10-31,89.940002,90.599998,89.370003,89.949997,6848600,87.90619
2014-11-03,90.32,91.209999,90.220001,90.849998,3707900,88.785742
2014-11-04,90.620003,91.43,90.5,91.379997,3163100,89.303699
2014-11-05,91.760002,92.449997,91.760002,92.419998,3617600,90.320069
2014-11-06,92.129997,92.199997,91.110001,91.580002,6005800,89.499159
2014-11-07,91.709999,92.480003,91.230003,92.260002,3669200,90.163708
2014-11-10,92.209999,92.43,91.849998,92.400002,2938700,90.300527
2014-11-11,92.279999,92.589996,91.489998,91.739998,2719800,89.655519
2014-11-12,91.160004,91.669998,91.099998,91.550003,3825200,89.469842
