Date,Open_ECL,High_ECL,Low_ECL,Close_ECL,Volume_ECL,AdjClose_ECL
2016-01-29,104.709999,107.980003,103.989998,107.870003,2133100,107.511324
2016-02-01,106.559998,107.650002,105.480003,107.419998,1109500,107.062815
2016-02-02,106.540001,106.540001,104.690002,104.93,1330400,104.581097
2016-02-03,106.900002,107.900002,104.150002,107.279999,1546100,106.923282
2016-02-04,107.459999,109.690002,107.129997,109.169998,1382200,108.806996
2016-02-05,108.889999,108.889999,105.669998,106.169998,1353100,105.816972
2016-02-08,105.040001,105.720001,102.440002,103.620003,1654500,103.275455
2016-02-09,102.910004,107.699997,102.209999,107.199997,1792600,106.843546
2016-02-10,107.620003,109.650002,106.07,106.209999,1239400,105.85684
2016-02-11,104.019997,104.599998,102.550003,103.300003,1449000,102.95652
2016-02-12,104.959999,106.93,104.040001,106.629997,1201600,106.275441
2016-02-16,108.230003,108.879997,106.379997,108.650002,1243500,108.288729
2016-02-17,110.0,110.559998,109.559998,109.959999,1353200,109.594371
2016-02-18,109.730003,110.0,108.339996,108.760002,1000300,108.398364
2016-02-19,108.300003,108.330002,106.769997,107.769997,2189700,107.41165
2016-02-22,109.269997,109.470001,106.849998,108.089996,2274700,107.730586
2016-02-23,103.620003,104.120003,99.989998,100.139999,6287600,99.807023
2016-02-24,99.410004,102.309998,98.620003,102.129997,2945800,101.790404
2016-02-25,102.589996,103.690002,101.589996,103.68,1250900,103.335253
2016-02-26,104.449997,106.559998,104.220001,106.279999,1816400,105.926607
2016-02-29,105.940002,106.809998,102.550003,102.550003,2055100,102.209014
2016-03-01,103.550003,106.139999,102.690002,105.860001,1789700,105.508005
2016-03-02,105.279999,105.720001,104.099998,104.68,1385800,104.331928
2016-03-03,104.730003,105.480003,104.459999,105.239998,1164400,104.890064
2016-03-04,105.699997,107.120003,104.790001,106.330002,1235000,105.976443
2016-03-07,105.699997,106.669998,105.269997,105.959999,1148300,105.607671
2016-03-08,104.949997,105.400002,104.209999,104.279999,1362300,103.933257
2016-03-09,104.739998,105.330002,103.919998,104.220001,2218900,103.873459
2016-03-10,104.830002,106.260002,103.879997,105.260002,1639000,104.910002
2016-03-11,106.010002,106.82,105.949997,106.360001,1000600,106.360001
2016-03-14,104.279999,104.279999,102.919998,103.040001,2158800,103.040001
2016-03-15,102.769997,104.190002,102.379997,104.050003,1359900,104.050003
2016-03-16,103.949997,106.43,103.529999,105.870003,1166100,105.870003
2016-03-17,106.029999,108.080002,106.029999,107.839996,1762100,107.839996
2016-03-18,108.220001,109.410004,107.739998,108.139999,2377500,108.139999
2016-03-21,108.129997,109.68,107.830002,108.980003,1342500,108.980003
2016-03-22,108.040001,111.860001,108.040001,110.559998,2041300,110.559998
2016-03-23,110.25,110.910004,109.610001,110.0,893800,110.0
2016-03-24,109.269997,110.599998,109.080002,110.529999,1065700,110.529999
2016-03-28,110.529999,111.230003,109.580002,110.599998,1109600,110.599998
2016-03-29,110.120003,111.550003,109.769997,111.459999,877200,111.459999
2016-03-30,112.089996,113.220001,111.919998,112.419998,982100,112.419998
2016-03-31,112.620003,113.400002,111.059998,111.519997,1282800,111.519997
2016-04-01,110.470001,112.669998,109.830002,112.419998,1353400,112.419998
2016-04-04,111.970001,112.82,111.690002,112.080002,1279100,112.080002
2016-04-05,111.260002,112.029999,110.970001,111.300003,654200,111.300003
2016-04-06,111.239998,112.459999,110.470001,112.360001,940200,112.360001
2016-04-07,111.730003,112.07,110.449997,110.730003,1014300,110.730003
2016-04-08,112.099998,113.160004,111.290001,111.629997,732100,111.629997
2016-04-11,112.050003,112.790001,111.449997,111.470001,698200,111.470001
2016-04-12,111.510002,112.940002,111.5,112.589996,880500,112.589996
2016-04-13,113.0,114.199997,112.720001,114.129997,1506200,114.129997
2016-04-14,114.400002,115.980003,114.080002,115.470001,1340600,115.470001
2016-04-15,115.599998,115.599998,114.43,115.010002,1550400,115.010002
2016-04-18,114.529999,115.230003,114.139999,115.18,1063200,115.18
2016-04-19,115.629997,116.099998,115.190002,116.040001,766000,116.040001
2016-04-20,115.800003,116.0,114.830002,115.57,1078200,115.57
2016-04-21,115.839996,116.660004,115.110001,115.290001,817800,115.290001
2016-04-22,115.550003,116.68,115.32,116.239998,1044400,116.239998
2016-04-25,115.900002,116.330002,115.389999,115.730003,1067900,115.730003
2016-04-26,116.239998,116.379997,115.599998,115.959999,849400,115.959999
2016-04-27,116.010002,116.900002,115.550003,116.650002,863600,116.650002
2016-04-28,115.360001,115.730003,114.690002,115.300003,1783300,115.300003
2016-04-29,114.839996,115.370003,114.110001,114.980003,1326200,114.980003
2016-05-02,114.470001,115.139999,113.860001,114.269997,2031500,114.269997
2016-05-03,116.860001,116.870003,112.690002,113.589996,2649900,113.589996
2016-05-04,112.730003,115.68,112.300003,115.309998,2033900,115.309998
2016-05-05,115.32,115.93,114.220001,115.040001,1236500,115.040001
2016-05-06,114.949997,117.330002,114.330002,117.050003,1425000,117.050003
2016-05-09,116.57,116.669998,115.260002,115.470001,1075700,115.470001
2016-05-10,116.050003,117.169998,115.93,117.110001,858400,117.110001
2016-05-11,117.050003,117.489998,116.5,116.57,1056400,116.57
2016-05-12,117.290001,117.75,116.599998,117.129997,944300,117.129997
2016-05-13,117.099998,117.300003,115.709999,116.019997,1082900,116.019997
2016-05-16,116.230003,118.370003,116.230003,118.160004,978000,118.160004
2016-05-17,117.699997,118.169998,116.809998,117.029999,1089300,117.029999
2016-05-18,116.650002,117.139999,115.470001,116.010002,1086900,116.010002
2016-05-19,115.860001,116.269997,114.989998,116.160004,911300,116.160004
2016-05-20,116.809998,117.580002,116.389999,116.720001,1726700,116.720001
2016-05-23,116.760002,117.18,116.190002,116.849998,676700,116.849998
2016-05-24,117.150002,118.940002,115.019997,118.559998,987300,118.559998
2016-05-25,118.980003,119.5,118.43,118.519997,1119900,118.519997
2016-05-26,118.849998,119.089996,118.040001,118.199997,833600,118.199997
2016-05-27,118.199997,118.589996,117.839996,118.339996,875000,118.339996
2016-05-31,118.620003,118.620003,116.849998,117.239998,1441300,117.239998
2016-06-01,117.059998,118.610001,116.230003,118.519997,826500,118.519997
2016-06-02,117.949997,118.870003,117.5,118.870003,759500,118.870003
2016-06-03,118.080002,118.970001,117.709999,118.790001,1086200,118.790001
