Date,Open_AWK,High_AWK,Low_AWK,Close_AWK,Volume_AWK,AdjClose_AWK
2016-03-16,68.400002,69.0,67.550003,68.900002,1543700,68.552956
2016-03-17,68.889999,70.099998,68.599998,69.970001,1990300,69.617566
2016-03-18,69.989998,70.019997,68.0,68.010002,3278800,67.667439
2016-03-21,68.010002,68.349998,67.449997,67.550003,2150400,67.209757
2016-03-22,67.550003,67.900002,67.360001,67.610001,1692700,67.269452
2016-03-23,67.82,67.900002,67.32,67.550003,1038500,67.209757
2016-03-24,67.68,67.980003,67.330002,67.629997,1575900,67.289348
2016-03-28,67.489998,68.18,67.019997,67.139999,1208300,66.801819
2016-03-29,67.169998,68.849998,67.169998,68.720001,1528900,68.373862
2016-03-30,68.650002,68.919998,68.150002,68.610001,1000200,68.264415
2016-03-31,68.75,69.400002,68.470001,68.93,1404200,68.582803
2016-04-01,68.839996,69.690002,68.790001,69.5,1313900,69.149932
2016-04-04,69.5,69.830002,68.949997,69.620003,1231900,69.26933
2016-04-05,69.57,69.82,68.989998,69.050003,1655700,68.702202
2016-04-06,69.0,69.510002,68.660004,69.5,1379800,69.149932
2016-04-07,69.400002,70.18,69.230003,69.800003,1664100,69.448424
2016-04-08,69.75,70.620003,69.75,70.379997,1079000,70.025497
2016-04-11,70.690002,70.82,70.019997,70.099998,923400,69.746908
2016-04-12,70.099998,70.449997,69.660004,70.389999,870700,70.035448
2016-04-13,70.769997,70.769997,69.620003,70.389999,871100,70.035448
2016-04-14,70.169998,70.510002,70.050003,70.440002,835300,70.0852
2016-04-15,70.300003,71.43,70.300003,71.260002,1438400,70.901069
2016-04-18,71.230003,71.720001,70.709999,71.699997,940400,71.338848
2016-04-19,71.699997,72.209999,71.290001,72.199997,876800,71.836329
2016-04-20,72.300003,72.400002,70.830002,70.879997,1171200,70.522978
2016-04-21,70.580002,70.589996,68.089996,68.260002,2645300,67.91618
2016-04-22,68.400002,69.440002,68.400002,69.239998,1524500,68.891239
2016-04-25,70.199997,70.800003,69.760002,70.800003,1618600,70.443387
2016-04-26,70.889999,71.75,70.82,71.410004,1280300,71.050315
2016-04-27,71.629997,72.370003,71.120003,72.169998,1141700,71.806481
2016-04-28,71.650002,72.660004,71.510002,72.389999,956000,72.025375
2016-04-29,72.080002,72.879997,71.5,72.760002,1439200,72.393514
2016-05-02,73.099998,74.269997,72.660004,74.190002,1578500,73.816311
2016-05-03,74.239998,74.589996,73.540001,73.93,1372900,73.557619
2016-05-04,73.800003,74.889999,73.269997,74.449997,1407400,74.074996
2016-05-05,73.889999,74.879997,72.860001,73.199997,1578600,73.199997
2016-05-06,73.18,74.099998,72.550003,74.019997,1583700,74.019997
2016-05-09,74.190002,74.489998,73.940002,74.290001,1271200,74.290001
2016-05-10,74.410004,74.669998,74.07,74.510002,935800,74.510002
2016-05-11,74.599998,74.720001,73.870003,74.519997,968200,74.519997
2016-05-12,74.540001,75.099998,74.169998,74.940002,1093900,74.940002
2016-05-13,74.639999,75.029999,74.190002,74.709999,710400,74.709999
2016-05-16,74.389999,75.25,74.25,75.199997,860000,75.199997
2016-05-17,75.050003,75.199997,72.830002,73.330002,1467700,73.330002
2016-05-18,72.910004,73.989998,71.93,72.639999,1459700,72.639999
2016-05-19,72.580002,73.410004,72.150002,73.400002,908000,73.400002
2016-05-20,73.599998,73.870003,72.959999,73.410004,3491900,73.410004
2016-05-23,73.629997,73.879997,73.089996,73.150002,881300,73.150002
2016-05-24,73.449997,74.040001,73.019997,73.980003,1232200,73.980003
2016-05-25,74.099998,74.540001,73.080002,73.279999,1289600,73.279999
2016-05-26,73.43,74.099998,73.0,73.980003,1145100,73.980003
2016-05-27,73.970001,74.220001,73.480003,74.120003,956800,74.120003
2016-05-31,74.169998,74.580002,73.839996,74.099998,1512700,74.099998
2016-06-01,74.059998,75.239998,73.949997,75.239998,1044600,75.239998
2016-06-02,75.239998,75.239998,74.190002,75.199997,966700,75.199997
2016-06-03,75.839996,76.75,75.82,76.459999,1016200,76.459999
