Date,Open_LMT,High_LMT,Low_LMT,Close_LMT,Volume_LMT,AdjClose_LMT
2015-09-30,204.339996,207.710007,204.229996,207.309998,1721800,202.856578
2015-10-01,206.309998,207.339996,202.820007,204.75,1889700,200.351575
2015-10-02,202.009995,206.610001,201.809998,206.610001,1154800,202.171619
2015-10-05,208.300003,211.860001,207.699997,211.729996,1347600,207.181627
2015-10-06,211.699997,212.649994,210.270004,210.399994,1625700,205.880196
2015-10-07,211.789993,214.020004,211.039993,212.949997,1122200,208.37542
2015-10-08,212.279999,214.660004,211.339996,214.369995,782100,209.764914
2015-10-09,214.440002,216.270004,213.220001,213.259995,1340000,208.678758
2015-10-12,213.610001,214.630005,212.759995,214.330002,1048100,209.725779
2015-10-13,213.220001,214.360001,211.940002,211.979996,1026200,207.426256
2015-10-14,212.050003,212.589996,207.990005,208.149994,1192100,203.67853
2015-10-15,209.229996,211.699997,207.509995,209.179993,1496900,204.686402
2015-10-16,210.399994,211.0,208.690002,209.779999,1145300,205.273519
2015-10-19,209.240005,210.729996,208.5,210.639999,1329900,206.115045
2015-10-20,207.380005,209.550003,205.139999,208.729996,1926500,204.246072
2015-10-21,209.759995,213.160004,208.740005,211.559998,1332400,207.01528
2015-10-22,212.220001,216.990005,212.220001,216.509995,1190100,211.858942
2015-10-23,218.0,219.419998,217.229996,219.320007,1280900,214.60859
2015-10-26,219.320007,221.350006,218.889999,220.940002,1383800,216.193785
2015-10-27,219.970001,225.149994,219.809998,223.039993,1399900,218.248663
2015-10-28,222.25,224.440002,218.360001,221.039993,1973500,216.291627
2015-10-29,221.0,222.690002,217.770004,218.25,1795900,213.561569
2015-10-30,219.0,220.690002,218.330002,219.830002,1774000,215.107629
2015-11-02,219.889999,221.0,218.910004,220.589996,1160700,215.851297
2015-11-03,220.0,220.460007,218.339996,218.899994,1046300,214.197599
2015-11-04,219.710007,220.350006,218.509995,218.830002,932900,214.129111
2015-11-05,219.169998,220.589996,218.009995,218.600006,911600,213.904056
2015-11-06,218.0,218.490005,215.039993,216.630005,1455400,211.976374
2015-11-09,215.770004,216.369995,214.059998,214.699997,1657300,210.087826
2015-11-10,214.369995,215.740005,212.630005,214.070007,1165900,209.47137
2015-11-11,214.369995,216.529999,214.259995,215.110001,1197100,210.489022
2015-11-12,214.5,215.059998,212.660004,213.580002,1292200,208.991891
2015-11-13,213.5,214.820007,211.779999,213.160004,1059100,208.580915
2015-11-16,214.309998,220.839996,214.080002,220.669998,1516000,215.92958
2015-11-17,222.070007,225.25,220.809998,222.389999,2081500,217.612633
2015-11-18,222.539993,223.369995,220.720001,223.220001,1185400,218.424805
2015-11-19,224.479996,225.470001,223.5,224.0,1410700,219.188047
2015-11-20,225.449997,226.979996,224.960007,226.059998,1321200,221.203792
2015-11-23,226.5,227.679993,225.470001,226.029999,939900,221.174438
2015-11-24,224.960007,226.990005,224.509995,226.429993,1234300,221.565839
2015-11-25,226.479996,227.910004,225.320007,225.800003,2156400,220.949383
2015-11-27,225.529999,226.229996,224.309998,225.910004,972800,222.68426
2015-11-30,223.600006,223.679993,218.529999,219.160004,3000800,216.030642
2015-12-01,220.059998,223.100006,219.369995,220.199997,1267200,217.055786
2015-12-02,220.25,220.949997,218.779999,218.940002,1307400,215.813783
2015-12-03,219.270004,219.759995,214.690002,215.460007,1776500,212.383477
2015-12-04,216.0,219.899994,216.0,218.389999,1701600,215.271633
2015-12-07,218.339996,219.619995,217.550003,219.130005,1537800,216.001072
2015-12-08,217.690002,219.779999,217.300003,218.809998,844400,215.685634
2015-12-09,218.020004,220.259995,216.610001,217.539993,1194900,214.433764
2015-12-10,217.919998,219.75,217.0,218.880005,1119200,215.754642
2015-12-11,217.539993,219.160004,216.699997,217.199997,1801900,214.098622
2015-12-14,215.990005,217.570007,214.720001,216.580002,2026500,213.48748
2015-12-15,217.0,217.240005,214.720001,214.839996,1539800,211.77232
2015-12-16,216.0,218.110001,214.75,217.5,1352000,214.394342
2015-12-17,217.860001,218.770004,215.160004,215.220001,1282300,212.146899
2015-12-18,213.75,215.169998,211.850006,212.179993,2058200,209.150298
2015-12-21,213.800003,215.589996,213.520004,215.470001,1066800,212.393329
2015-12-22,216.160004,218.229996,215.580002,217.580002,895200,214.473201
2015-12-23,218.0,218.350006,217.179993,217.929993,742400,214.818195
