Date,Open_MCK,High_MCK,Low_MCK,Close_MCK,Volume_MCK,AdjClose_MCK
2014-09-15,193.100006,193.240005,191.009995,191.779999,636900,189.982809
2014-09-16,191.479996,195.460007,190.300003,195.300003,1047100,193.469827
2014-09-17,195.300003,196.179993,193.949997,195.539993,723800,193.707568
2014-09-18,195.610001,197.0,195.009995,196.0,562600,194.163264
2014-09-19,197.339996,197.600006,195.679993,195.789993,991700,193.955225
2014-09-22,194.839996,195.300003,193.25,194.309998,631900,192.489099
2014-09-23,196.050003,196.050003,193.210007,194.690002,850900,192.865543
2014-09-24,195.100006,197.460007,194.660004,197.289993,1032600,195.441169
2014-09-25,196.520004,196.75,193.550003,194.009995,625200,192.191907
2014-09-26,194.160004,195.320007,193.160004,194.800003,640800,192.974512
2014-09-29,193.910004,196.839996,193.619995,196.520004,1024200,194.678395
2014-09-30,196.5,197.339996,194.350006,194.669998,812200,192.845726
2014-10-01,194.919998,194.990005,191.949997,192.570007,734800,190.765414
2014-10-02,192.789993,196.220001,192.410004,194.850006,954400,193.024047
2014-10-03,196.330002,200.919998,195.520004,199.600006,1231100,197.729534
2014-10-06,200.050003,200.300003,196.029999,196.619995,1069600,194.777449
2014-10-07,195.050003,195.979996,193.619995,193.660004,767900,191.845196
2014-10-08,194.880005,199.820007,194.350006,199.729996,1128100,197.858306
2014-10-09,199.589996,199.970001,195.759995,195.820007,1235000,193.984958
2014-10-10,195.919998,198.240005,193.949997,193.970001,1401400,192.152289
2014-10-13,194.020004,194.020004,189.610001,189.669998,1191200,187.892581
2014-10-14,189.990005,190.970001,185.889999,188.619995,1369000,186.852418
2014-10-15,186.410004,187.089996,178.279999,185.020004,2306400,183.286163
2014-10-16,181.660004,187.389999,181.559998,185.320007,1616400,183.583355
2014-10-17,188.130005,192.289993,187.509995,191.229996,1290700,189.43796
2014-10-20,190.309998,193.259995,190.309998,193.089996,917900,191.28053
2014-10-21,194.75,198.050003,194.75,196.929993,1405100,195.084542
2014-10-22,197.399994,197.889999,195.369995,195.570007,793300,193.737301
