Date,Open_RL,High_RL,Low_RL,Close_RL,Volume_RL,AdjClose_RL
2016-03-31,96.470001,97.389999,95.360001,96.260002,976700,96.260002
2016-04-01,95.669998,97.330002,94.57,97.260002,1085900,97.260002
2016-04-04,97.519997,97.730003,93.550003,93.800003,1226700,93.800003
2016-04-05,93.419998,94.879997,92.839996,93.849998,1015200,93.849998
2016-04-06,93.980003,96.540001,93.870003,96.480003,1409200,96.480003
2016-04-07,96.080002,96.68,93.739998,94.559998,938800,94.559998
2016-04-08,94.0,94.480003,90.529999,91.239998,1386000,91.239998
2016-04-11,91.0,91.82,90.279999,90.370003,889400,90.370003
2016-04-12,91.309998,91.730003,89.639999,91.080002,1381800,91.080002
2016-04-13,91.800003,93.989998,91.589996,93.57,1176500,93.57
2016-04-14,93.220001,93.610001,91.82,92.550003,879200,92.550003
2016-04-15,92.410004,94.730003,92.360001,94.470001,1382200,94.470001
2016-04-18,94.099998,95.400002,93.199997,95.190002,646500,95.190002
2016-04-19,95.400002,95.900002,94.089996,94.809998,705200,94.809998
2016-04-20,94.650002,95.790001,94.199997,94.830002,744500,94.830002
2016-04-21,95.339996,95.919998,93.809998,94.080002,891400,94.080002
2016-04-22,94.480003,95.279999,93.339996,93.980003,792700,93.980003
2016-04-25,93.790001,94.480003,92.720001,94.379997,898700,94.379997
2016-04-26,94.279999,95.019997,93.349998,94.970001,946000,94.970001
2016-04-27,95.360001,95.360001,94.580002,94.889999,1208000,94.889999
2016-04-28,93.980003,96.290001,93.790001,94.010002,954200,94.010002
2016-04-29,94.0,94.43,91.980003,93.209999,825300,93.209999
2016-05-02,93.279999,95.559998,92.790001,95.230003,596700,95.230003
2016-05-03,94.589996,95.25,93.370003,94.529999,763300,94.529999
2016-05-04,93.989998,94.970001,92.739998,93.050003,601600,93.050003
2016-05-05,93.129997,93.480003,90.940002,91.0,912300,91.0
2016-05-06,90.800003,91.18,89.120003,90.110001,1259400,90.110001
2016-05-09,90.0,90.760002,89.540001,90.300003,1700200,90.300003
2016-05-10,87.389999,90.400002,87.389999,89.349998,1479600,89.349998
2016-05-11,87.07,87.540001,83.660004,84.5,3678600,84.5
2016-05-12,89.959999,90.129997,83.980003,86.879997,5637900,86.879997
2016-05-13,86.010002,88.370003,84.540001,85.5,3065800,85.5
2016-05-16,85.639999,87.290001,85.400002,86.5,2582800,86.5
2016-05-17,86.0,89.980003,85.580002,88.110001,1590900,88.110001
2016-05-18,87.199997,89.099998,86.5,89.0,1639800,89.0
