Date,Open_SPG,High_SPG,Low_SPG,Close_SPG,Volume_SPG,AdjClose_SPG
2014-08-05,168.199997,168.289993,165.979996,166.360001,1440500,156.097415
2014-08-06,166.029999,166.770004,165.160004,165.300003,1569500,155.102808
2014-08-07,165.580002,166.759995,165.020004,165.270004,1721300,155.07466
2014-08-08,166.220001,166.740005,165.139999,166.279999,1628600,156.022349
2014-08-11,166.630005,168.380005,166.300003,168.039993,1097900,157.673771
2014-08-12,168.050003,168.259995,167.119995,167.130005,1250900,156.819919
2014-08-13,166.449997,168.520004,166.449997,168.520004,1455900,159.363761
2014-08-14,169.130005,169.279999,167.369995,168.25,1189200,159.108427
2014-08-15,169.089996,169.410004,167.770004,168.850006,2295400,159.675833
2014-08-18,169.089996,170.419998,168.979996,170.240005,1020200,160.990309
2014-08-19,170.199997,170.360001,169.309998,169.869995,998300,160.640403
2014-08-20,169.800003,171.0,168.770004,170.520004,794000,161.255095
2014-08-21,170.960007,171.490005,170.289993,170.460007,865100,161.198357
2014-08-22,170.190002,170.860001,169.270004,169.419998,1112400,160.214856
2014-08-25,169.899994,170.270004,168.789993,169.210007,943900,160.016274
2014-08-26,168.869995,170.279999,168.550003,169.25,818700,160.054094
2014-08-27,169.25,169.759995,168.75,169.509995,639500,160.299962
2014-08-28,169.080002,169.669998,168.649994,168.979996,725700,159.79876
2014-08-29,169.600006,170.429993,168.979996,170.029999,1641300,160.791713
2014-09-02,170.619995,170.740005,169.630005,170.119995,940800,160.87682
2014-09-03,170.529999,172.210007,169.679993,170.789993,829900,161.510415
2014-09-04,170.759995,172.070007,169.860001,170.300003,1066000,161.047047
2014-09-05,170.809998,173.309998,170.589996,173.179993,1410000,163.770557
2014-09-08,172.860001,173.229996,172.119995,172.389999,877600,163.023487
2014-09-09,172.050003,172.960007,171.619995,172.440002,1089500,163.070773
2014-09-10,172.110001,172.770004,170.050003,170.429993,1368900,161.169974
2014-09-11,170.300003,170.990005,169.330002,169.919998,1193500,160.687689
2014-09-12,169.490005,169.539993,164.199997,165.5,2819600,156.507844
2014-09-15,165.520004,166.229996,164.440002,165.539993,1538200,156.545664
2014-09-16,165.940002,168.289993,165.449997,167.220001,1390900,158.134392
2014-09-17,166.5,169.179993,166.5,167.509995,1132200,158.408629
2014-09-18,168.169998,168.169998,165.360001,166.020004,1636500,156.999595
2014-09-19,166.490005,166.919998,165.580002,165.740005,2401700,156.734809
2014-09-22,165.75,166.0,164.639999,165.139999,1263900,156.167403
2014-09-23,165.25,166.190002,164.339996,164.339996,1314700,155.410867
2014-09-24,164.100006,165.940002,163.380005,163.600006,1597200,154.711083
2014-09-25,163.550003,164.259995,162.490005,162.710007,1150800,153.86944
2014-09-26,162.889999,165.070007,162.429993,164.660004,921000,155.713487
2014-09-29,163.889999,164.460007,162.5,164.419998,856800,155.486522
2014-09-30,164.699997,165.149994,163.169998,164.419998,1444900,155.486522
2014-10-01,164.289993,165.929993,163.889999,164.910004,1405600,155.949904
2014-10-02,164.710007,165.589996,163.410004,164.490005,1200600,155.552726
2014-10-03,164.649994,165.960007,164.020004,165.809998,983500,156.800998
2014-10-06,165.949997,167.169998,165.389999,166.100006,852900,157.07525
2014-10-07,165.210007,165.929993,164.339996,164.380005,899000,155.448702
2014-10-08,164.779999,168.169998,164.5,168.089996,1484900,158.957117
2014-10-09,168.199997,170.649994,167.860001,168.660004,2010700,159.496154
2014-10-10,169.580002,171.070007,168.410004,168.429993,1298600,159.27864
2014-10-13,168.410004,169.779999,167.399994,167.470001,1409900,158.370808
2014-10-14,168.179993,170.75,167.470001,169.679993,1674600,160.460724
2014-10-15,169.199997,169.199997,165.600006,165.960007,3691000,156.942857
2014-10-16,164.759995,166.880005,164.130005,166.270004,1962100,157.236011
2014-10-17,166.919998,168.669998,165.220001,168.419998,1872400,159.269189
2014-10-20,168.669998,170.419998,168.130005,170.350006,1050300,161.094333
2014-10-21,170.369995,172.029999,170.050003,172.029999,1400700,162.683046
2014-10-22,172.339996,173.910004,171.279999,171.440002,1182000,162.125107
2014-10-23,172.320007,172.880005,171.020004,172.440002,1419600,163.070773
2014-10-24,172.800003,173.949997,171.869995,172.860001,1326900,163.467952
2014-10-27,172.880005,174.699997,172.880005,174.190002,1093900,164.72569
2014-10-28,174.699997,177.020004,174.119995,177.020004,1797400,167.401929
2014-10-29,176.589996,177.449997,174.779999,175.979996,1660300,166.418427
2014-10-30,175.509995,176.889999,174.869995,176.889999,1007000,167.278987
2014-10-31,178.669998,179.610001,176.889999,179.210007,1584900,169.472941
2014-11-03,179.800003,182.610001,179.360001,182.419998,2472900,172.508523
2014-11-04,182.0,183.5,181.050003,183.029999,2453100,173.085381
2014-11-05,183.759995,184.029999,180.809998,181.639999,1341000,171.770904
2014-11-06,181.669998,182.110001,179.779999,180.080002,1209900,170.295667
2014-11-07,180.809998,180.809998,179.259995,179.440002,1374500,169.69044
2014-11-10,179.110001,182.320007,178.740005,182.270004,1385300,172.366679
2014-11-11,181.589996,182.520004,179.889999,180.610001,1226400,170.796869
2014-11-12,180.5,180.619995,177.470001,178.320007,1439900,169.853875
2014-11-13,178.330002,179.740005,178.220001,179.559998,1179100,171.034994
2014-11-14,179.139999,179.699997,177.339996,178.029999,1037800,169.577635
2014-11-17,178.110001,178.940002,177.809998,178.479996,794800,170.006268
2014-11-18,178.869995,179.600006,178.009995,179.190002,808800,170.682565
2014-11-19,180.380005,180.589996,175.360001,176.369995,2069300,167.996444
2014-11-20,176.429993,178.899994,175.600006,178.869995,1957700,170.377751
2014-11-21,180.0,180.300003,178.240005,178.449997,2077100,169.977693
2014-11-24,178.210007,180.039993,178.210007,178.580002,1711500,170.101526
2014-11-25,178.580002,179.690002,178.5,179.009995,1894800,170.511104
2014-11-26,179.490005,180.979996,179.449997,180.690002,1071000,172.11135
2014-11-28,181.460007,183.429993,180.270004,180.800003,826700,172.216128
