Date,Open_VNO,High_VNO,Low_VNO,Close_VNO,Volume_VNO,AdjClose_VNO
2014-11-06,111.089997,111.089997,109.869998,110.129994,1647400,96.001173
2014-11-07,110.179992,110.269991,108.949995,109.030004,1033500,95.042302
2014-11-10,108.80999,109.540007,108.779997,109.199994,941400,95.190484
2014-11-11,109.570001,109.720004,108.419995,108.60999,598100,94.676173
2014-11-12,108.510002,108.619996,107.210002,107.519989,682800,93.72601
2014-11-13,107.879998,108.589985,107.439997,108.150001,638700,94.275197
2014-11-14,108.219995,108.989987,107.230007,107.579993,677000,93.778317
2014-11-17,107.620001,108.469993,107.319988,108.050005,914300,94.18803
2014-11-18,107.99,109.399994,107.689995,109.199994,828000,95.190484
2014-11-19,108.859997,109.879987,108.4,108.979997,1063300,94.998711
2014-11-20,108.889999,109.29,108.44,109.080002,1159400,95.085886
2014-11-21,109.730002,110.669992,108.959993,110.599998,1383900,96.410879
2014-11-24,110.999999,111.390002,110.389991,110.87999,1084100,96.65495
2014-11-25,111.059987,111.24,110.559998,110.739994,1283300,96.532914
2014-11-26,110.870001,111.429994,110.55,111.049997,724100,96.803146
2014-11-28,110.870001,112.499991,110.870001,111.559992,562800,97.247713
2014-12-01,111.36,112.74999,110.910001,112.109996,1103900,97.727156
2014-12-02,112.069996,112.82,111.379996,112.800004,888500,98.328641
2014-12-03,112.599995,112.709998,111.44,112.169992,913300,97.779455
2014-12-04,112.05999,113.129987,111.679993,112.849994,788500,98.372218
2014-12-05,112.440003,112.98999,111.689999,112.849994,784800,98.372218
2014-12-08,113.119997,114.060004,112.829998,113.190008,672700,98.66861
2014-12-09,112.249992,114.910005,112.139998,114.239992,1057200,99.58389
2014-12-10,114.16,114.529991,113.409996,113.879991,764100,99.270074
2014-12-11,114.319992,114.85,113.589992,113.759999,753300,99.165476
2014-12-12,113.449996,114.519993,113.129987,113.239989,871700,98.712179
2014-12-15,113.620003,113.820003,111.469994,112.219999,922000,97.823046
2014-12-16,112.160003,113.059993,111.4,111.800001,1120000,97.456931
2014-12-17,111.610007,114.679993,111.610007,114.489999,963500,99.801823
2014-12-18,115.029997,116.629993,114.550003,116.589993,936200,101.632404
2014-12-19,117.310003,117.369999,115.58999,115.959997,1704000,101.083232
2014-12-22,116.379986,118.039995,116.099993,117.939999,814000,102.809215
2014-12-23,118.400005,118.719997,117.470004,118.449986,740200,103.253774
2014-12-24,118.769995,119.039998,117.539998,117.539998,513600,102.460531
2014-12-26,117.61,118.749999,117.320001,118.290002,601800,103.114315
2014-12-29,118.229998,119.269992,118.050001,119.099994,773000,103.820391
2014-12-30,119.03,119.980005,118.46999,119.269992,683400,103.96858
2014-12-31,119.309993,120.230004,117.499998,117.710005,1063200,102.608727
2015-01-02,118.360004,119.489989,117.699998,119.369997,646900,104.055755
2015-01-05,118.749999,120.099997,118.619993,119.670002,805400,104.317272
2015-01-06,119.84999,121.149998,119.699996,120.639995,1303700,105.162822
2015-01-07,121.470008,123.33999,120.349996,123.190004,1024800,107.385685
2015-01-08,123.459999,124.169986,122.550002,123.610001,709100,107.7518
2015-01-09,123.610001,124.489996,122.880001,123.599995,724000,107.743077
2015-01-12,123.789989,124.689996,123.720004,124.410004,679300,108.449168
2015-01-13,124.919991,125.550003,123.449993,124.149999,773100,108.22252
2015-01-14,123.669997,124.929997,123.019998,124.67999,1017100,108.684517
2015-01-15,125.139996,126.62,124.569987,125.999994,1620300,109.835175
2015-01-16,115.449997,115.730003,112.800003,114.269997,1430800,109.96949
2015-01-20,114.879997,115.5,112.790001,113.339996,1102400,109.07449
2015-01-21,112.410004,113.220001,111.260002,112.410004,876000,108.179497
2015-01-22,112.510002,114.800003,112.510002,114.68,821000,110.364063
2015-01-23,114.849998,114.919998,113.959999,114.300003,580200,109.998367
2015-01-26,114.160004,114.760002,113.620003,114.75,648800,110.431428
2015-01-27,114.139999,114.900002,113.790001,114.269997,630600,109.96949
2015-01-28,114.489998,114.989998,113.07,113.080002,894100,108.82428
2015-01-29,112.459999,112.839996,111.68,112.540001,720700,108.911372
2015-01-30,111.989998,112.739998,110.370003,110.440002,1279500,106.879084
2015-02-02,110.5,111.25,108.870003,111.050003,995200,107.469416
2015-02-03,110.779999,112.029999,110.059998,112.010002,747400,108.398462
2015-02-04,111.949997,112.099998,110.860001,111.580002,622000,107.982326
2015-02-05,111.959999,114.080002,111.5,113.970001,870700,110.295265
2015-02-06,113.440002,113.480003,111.889999,112.639999,1732100,109.008146
2015-02-09,112.43,113.32,112.279999,112.339996,804300,108.717816
2015-02-10,112.489998,113.5,112.0,113.010002,1163000,109.366219
2015-02-11,113.589996,113.82,111.830002,112.68,544600,109.046858
2015-02-12,112.800003,113.949997,112.160004,113.699997,522900,110.033966
2015-02-13,113.580002,113.849998,112.389999,112.959999,556700,109.317828
2015-02-17,112.860001,113.919998,112.419998,112.879997,760700,109.240406
2015-02-18,112.919998,114.150002,112.059998,113.959999,654200,110.285585
2015-02-19,113.5,113.529999,110.699997,111.260002,923300,107.672644
2015-02-20,110.919998,112.699997,110.68,112.489998,1009000,108.862981
2015-02-23,112.919998,113.290001,111.93,113.160004,542800,109.511384
2015-02-24,112.669998,113.290001,110.410004,111.050003,832300,107.469416
2015-02-25,111.0,112.019997,110.220001,110.449997,906200,106.888756
2015-02-26,110.220001,110.389999,109.18,109.379997,646300,105.853257
2015-02-27,109.57,110.559998,108.910004,110.040001,837500,106.49198
2015-03-02,110.330002,111.82,110.010002,110.980003,564800,107.401674
2015-03-03,110.709999,111.360001,109.68,110.660004,575000,107.091992
2015-03-04,110.459999,110.629997,108.459999,108.68,800200,105.17583
2015-03-05,109.360001,110.209999,108.940002,109.169998,1028200,105.650028
