Date,Open_ADP,High_ADP,Low_ADP,Close_ADP,Volume_ADP,AdjClose_ADP
2015-10-15,85.620003,85.970001,84.93,85.970001,1233900,84.394388
2015-10-16,86.300003,86.980003,85.919998,86.690002,1841300,85.101194
2015-10-19,86.57,87.599998,86.5,87.300003,1439200,85.700014
2015-10-20,87.059998,87.620003,86.949997,87.419998,1309200,85.81781
2015-10-21,87.699997,88.480003,87.32,87.449997,1607900,85.847259
2015-10-22,87.93,89.82,87.720001,89.690002,2104400,88.046211
2015-10-23,90.0,90.599998,89.68,90.529999,1833000,88.870813
2015-10-26,90.230003,90.669998,89.730003,90.110001,2297400,88.458512
2015-10-27,90.110001,90.379997,89.089996,90.330002,2031600,88.674481
2015-10-28,88.32,89.25,86.900002,87.910004,3400800,86.298835
2015-10-29,87.910004,88.529999,86.57,88.360001,2476200,86.740585
