Date,Open_PX,High_PX,Low_PX,Close_PX,Volume_PX,AdjClose_PX
2016-01-07,98.839996,100.07,97.599998,97.790001,2002700,96.427137
2016-01-08,98.040001,99.220001,97.330002,97.849998,2541000,96.486298
2016-01-11,98.370003,99.089996,97.629997,98.440002,2389200,97.06808
2016-01-12,99.5,100.010002,98.300003,99.889999,1736500,98.497869
2016-01-13,100.589996,102.32,97.550003,98.010002,2652800,96.644072
2016-01-14,98.239998,100.339996,97.510002,99.790001,1928500,98.399264
2016-01-15,99.410004,99.790001,96.510002,97.389999,1584700,96.03271
2016-01-19,98.480003,98.599998,96.629997,98.18,1822000,96.811701
2016-01-20,96.57,98.809998,96.0,97.82,2844600,96.456718
2016-01-21,98.25,98.790001,97.190002,97.959999,1653200,96.594766
2016-01-22,99.400002,99.690002,97.639999,98.089996,1746800,96.722951
2016-01-25,97.599998,98.150002,96.0,96.129997,1400000,94.790268
2016-01-26,96.519997,98.379997,95.940002,98.139999,1350100,96.772258
2016-01-27,97.809998,99.629997,97.739998,98.099998,2132200,96.732814
2016-01-28,98.639999,99.199997,97.910004,98.199997,1815000,96.831419
2016-01-29,96.769997,100.019997,95.599998,100.0,3435200,98.606336
2016-02-01,99.830002,100.980003,98.370003,100.529999,2402500,99.128948
2016-02-02,97.830002,99.260002,97.779999,98.150002,2462400,96.78212
2016-02-03,99.330002,103.300003,98.949997,103.290001,2563200,101.850485
2016-02-04,103.349998,106.989998,103.349998,105.529999,2169200,104.059265
2016-02-05,104.970001,105.519997,103.68,105.099998,2021200,103.635258
2016-02-08,104.519997,104.800003,100.470001,101.93,2926200,100.509439
2016-02-09,101.769997,104.199997,101.489998,103.82,1592800,102.373098
2016-02-10,104.309998,105.290001,103.0,103.370003,1107300,101.929372
2016-02-11,101.739998,103.160004,101.260002,102.059998,1594100,100.637624
2016-02-12,102.760002,103.949997,102.209999,103.830002,978100,102.382961
2016-02-16,105.040001,105.040001,103.459999,104.0,1878700,102.55059
2016-02-17,104.870003,105.400002,104.32,104.5,1449200,103.043621
2016-02-18,104.309998,104.860001,104.080002,104.5,995300,103.043621
2016-02-19,104.410004,104.559998,102.970001,103.309998,1354300,101.870203
2016-02-22,103.889999,105.050003,103.57,104.220001,1273100,102.767525
2016-02-23,103.529999,103.809998,101.599998,102.220001,1294600,100.795398
2016-02-24,100.919998,102.139999,100.800003,101.889999,1493800,100.469995
2016-02-25,102.209999,102.910004,101.040001,102.610001,1758900,101.179962
2016-02-26,103.300003,104.220001,102.440002,103.239998,1582100,101.801179
2016-02-29,103.370003,103.93,101.75,101.790001,1325500,100.37139
2016-03-01,102.849998,105.529999,102.389999,105.339996,1591500,103.871911
2016-03-02,104.709999,105.260002,103.330002,104.139999,1582700,102.688638
2016-03-03,103.57,105.980003,102.720001,105.839996,1295700,105.122013
2016-03-04,106.059998,110.089996,105.919998,108.790001,2152400,108.052006
2016-03-07,109.18,109.730003,107.629997,108.589996,1851700,107.853358
2016-03-08,107.529999,108.690002,106.629997,108.139999,1315000,107.406414
2016-03-09,108.419998,109.349998,107.849998,109.059998,1416000,108.320171
2016-03-10,109.760002,111.32,109.300003,110.660004,2592500,109.909323
2016-03-11,111.080002,112.209999,110.599998,111.110001,2132100,110.356268
2016-03-14,110.699997,111.050003,109.589996,109.900002,1279100,109.154477
2016-03-15,108.949997,109.639999,108.57,109.440002,1057300,108.697598
2016-03-16,109.260002,110.660004,108.82,110.129997,1331000,109.382912
2016-03-17,110.660004,113.550003,110.589996,113.120003,2289100,112.352635
2016-03-18,113.510002,113.650002,112.809998,112.879997,2287000,112.114257
2016-03-21,112.879997,113.400002,112.75,112.959999,1122600,112.193716
2016-03-22,112.629997,112.860001,111.82,112.580002,1246700,111.816297
2016-03-23,112.389999,113.360001,111.660004,112.800003,1229500,112.034806
2016-03-24,111.879997,112.099998,111.0,111.739998,1106200,110.981991
2016-03-28,112.059998,112.720001,111.949997,112.449997,852300,111.687174
2016-03-29,111.949997,112.809998,111.589996,112.459999,960700,111.697108
2016-03-30,113.18,115.220001,112.919998,115.0,1708100,114.219879
2016-03-31,114.93,115.32,114.360001,114.449997,1751700,113.673607
2016-04-01,113.949997,115.489998,112.720001,115.239998,1171100,114.458248
2016-04-04,114.5,115.599998,114.300003,114.709999,977500,113.931845
2016-04-05,113.82,114.449997,112.379997,112.989998,1285900,112.223512
2016-04-06,113.099998,113.330002,111.730003,113.279999,976700,112.511545
2016-04-07,112.529999,112.75,111.290001,111.669998,878400,110.912466
2016-04-08,112.470001,113.279999,111.959999,112.300003,840200,111.538198
2016-04-11,112.769997,113.449997,112.709999,112.739998,919900,111.975208
2016-04-12,112.980003,114.419998,112.360001,114.059998,774500,113.286253
2016-04-13,114.660004,115.620003,113.839996,115.57,908700,114.786012
2016-04-14,115.790001,115.910004,114.870003,115.529999,748100,114.746282
2016-04-15,115.309998,116.550003,115.089996,116.32,987700,115.530924
2016-04-18,115.599998,116.209999,115.349998,116.120003,888300,115.332284
2016-04-19,116.529999,118.860001,116.139999,118.82,1226200,118.013965
2016-04-20,119.0,119.709999,118.57,119.290001,1079300,118.480778
2016-04-21,119.230003,120.040001,118.739998,118.849998,573500,118.04376
2016-04-22,119.419998,119.790001,118.360001,119.620003,658300,118.808541
2016-04-25,119.010002,119.720001,118.849998,119.190002,654500,118.381457
2016-04-26,119.199997,119.580002,118.32,119.419998,903600,118.609893
2016-04-27,119.489998,119.529999,117.629997,118.449997,1493700,117.646472
2016-04-28,117.599998,119.379997,117.269997,118.260002,1193400,117.457766
2016-04-29,113.669998,118.349998,112.139999,117.459999,1962600,116.66319
2016-05-02,117.57,118.739998,117.050003,117.400002,1290900,116.603599
2016-05-03,116.470001,116.610001,114.209999,115.089996,1477300,114.309264
2016-05-04,114.68,114.93,113.720001,113.940002,1248200,113.167072
2016-05-05,114.650002,114.849998,113.279999,113.470001,1084100,112.700259
2016-05-06,113.459999,114.550003,113.089996,114.300003,848400,113.52463
2016-05-09,114.300003,114.300003,112.519997,113.029999,1132900,112.263241
2016-05-10,113.769997,114.230003,113.339996,114.019997,979600,113.246523
2016-05-11,114.120003,114.639999,113.309998,113.43,1049700,112.660529
2016-05-12,114.190002,115.190002,113.489998,113.599998,1156400,112.829374
2016-05-13,113.57,114.129997,111.559998,111.959999,799200,111.2005
2016-05-16,112.120003,113.379997,111.639999,112.949997,735700,112.183782
2016-05-17,112.75,113.099998,112.150002,112.279999,1071100,111.518329
2016-05-18,111.889999,111.970001,110.480003,110.779999,935000,110.028504
2016-05-19,110.639999,111.919998,109.510002,110.059998,1429400,109.313387
