Date,Open_HON,High_HON,Low_HON,Close_HON,Volume_HON,AdjClose_HON
2014-09-22,95.82,96.330002,94.559998,94.699997,2231000,91.28124
2014-09-23,94.349998,94.43,93.32,93.389999,3339500,90.018534
2014-09-24,93.309998,94.019997,93.239998,93.830002,2349100,90.442652
2014-09-25,93.529999,93.639999,92.330002,92.400002,2264200,89.064276
2014-09-26,92.43,93.349998,92.25,93.300003,2392700,89.931787
2014-09-29,92.43,93.830002,92.360001,93.529999,3054900,90.153479
2014-09-30,93.43,93.720001,92.669998,93.120003,2562700,89.758285
2014-10-01,92.75,92.849998,91.300003,91.660004,4458400,88.350993
2014-10-02,91.589996,91.870003,90.300003,91.120003,2724600,87.830486
2014-10-03,91.900002,92.110001,91.150002,91.709999,2543200,88.399183
2014-10-06,92.080002,92.739998,91.660004,91.949997,2392800,88.630517
2014-10-07,91.169998,91.360001,89.739998,89.790001,2590400,86.548499
2014-10-08,89.879997,91.519997,89.279999,91.449997,3456000,88.148568
2014-10-09,91.379997,91.580002,89.5,89.769997,2691300,86.529217
2014-10-10,89.550003,89.790001,87.889999,87.900002,4650200,84.72673
2014-10-13,88.019997,88.5,85.559998,85.660004,4122000,82.567598
2014-10-14,86.0,86.959999,85.709999,86.190002,5621800,83.078464
2014-10-15,85.169998,85.720001,82.889999,85.110001,7911300,82.037451
2014-10-16,83.730003,86.800003,83.480003,86.389999,6011000,83.271241
2014-10-17,89.230003,90.779999,88.889999,90.059998,7835900,86.808748
2014-10-20,89.349998,90.019997,88.970001,90.0,4513400,86.750917
2014-10-21,90.599998,92.949997,90.599998,92.919998,4539700,89.5655
2014-10-22,93.559998,93.779999,91.129997,91.160004,5253800,87.869043
2014-10-23,92.800003,94.5,92.599998,93.580002,4080300,90.201677
2014-10-24,93.540001,94.849998,93.209999,94.699997,2663700,91.28124
2014-10-27,94.190002,94.410004,93.25,93.699997,4121600,90.31734
2014-10-28,94.400002,95.389999,94.150002,95.169998,3173500,91.734273
2014-10-29,95.239998,95.739998,94.370003,95.050003,2604600,91.61861
2014-10-30,94.400002,96.019997,94.150002,95.589996,2292400,92.139109
2014-10-31,96.93,96.980003,95.879997,96.120003,3995800,92.649982
2014-11-03,96.25,96.25,95.43,95.660004,3090900,92.206589
2014-11-04,95.699997,95.860001,94.879997,95.290001,2691300,91.849944
2014-11-05,96.32,96.889999,95.699997,96.709999,2776900,93.218679
2014-11-06,96.889999,96.970001,96.129997,96.709999,3018200,93.218679
2014-11-07,96.699997,96.980003,96.129997,96.769997,2365000,93.27651
2014-11-10,96.870003,97.379997,96.389999,97.269997,1828100,93.75846
