Date,Open_ABC,High_ABC,Low_ABC,Close_ABC,Volume_ABC,AdjClose_ABC
2015-01-02,90.610001,91.32,89.82,90.459999,1124600,88.654667
2015-01-05,90.07,90.739998,89.639999,89.690002,1631200,87.900037
2015-01-06,90.139999,91.419998,89.519997,90.18,1761600,88.380256
2015-01-07,90.980003,92.400002,90.43,91.980003,1608900,90.144336
2015-01-08,91.739998,92.769997,91.160004,92.190002,2396900,90.350144
2015-01-09,92.440002,93.269997,92.32,93.0,1549300,91.143976
2015-01-12,93.769997,94.349998,90.550003,90.93,3520200,89.115288
2015-01-13,91.870003,93.419998,90.93,91.639999,3457800,89.811118
2015-01-14,91.419998,92.870003,90.589996,92.099998,2000000,90.261936
2015-01-15,92.099998,92.400002,91.099998,91.400002,1362000,89.575909
2015-01-16,91.139999,92.459999,90.349998,92.419998,1541700,90.57555
2015-01-20,93.010002,93.419998,91.389999,92.440002,1177100,90.595155
2015-01-21,92.379997,93.0,91.900002,92.779999,1531500,90.928366
2015-01-22,93.230003,94.230003,91.949997,94.150002,1641100,92.271027
2015-01-23,94.379997,95.160004,94.300003,94.730003,1853800,92.839454
2015-01-26,94.849998,95.870003,94.300003,95.849998,2097500,93.937097
2015-01-27,95.169998,96.489998,94.709999,95.919998,2734000,94.005699
2015-01-28,98.800003,100.199997,95.260002,96.370003,5424200,94.446723
2015-01-29,96.870003,97.129997,94.889999,96.339996,3327400,94.417315
2015-01-30,96.18,96.5,94.980003,95.050003,2346800,93.153067
2015-02-02,95.57,95.769997,93.599998,95.150002,1697600,93.25107
2015-02-03,95.669998,95.830002,94.269997,95.639999,2081300,93.731289
2015-02-04,95.620003,96.449997,95.230003,95.870003,1777600,93.956702
2015-02-05,96.269997,96.669998,95.980003,96.339996,1055700,94.417315
2015-02-06,96.949997,98.230003,96.589996,97.040001,2008400,95.10335
2015-02-09,96.970001,96.970001,95.080002,95.559998,1645200,93.652883
2015-02-10,96.339996,97.010002,95.769997,96.910004,2247800,94.975947
2015-02-11,97.010002,99.080002,96.93,98.739998,3137400,96.76942
2015-02-12,98.830002,99.849998,98.230003,99.830002,2224600,98.125863
2015-02-13,99.68,100.360001,99.010002,100.339996,2063300,98.627151
2015-02-17,100.209999,100.849998,99.68,100.599998,2196900,98.882715
2015-02-18,100.209999,100.919998,99.610001,100.660004,1680400,98.941696
2015-02-19,100.519997,101.029999,100.089996,101.010002,1420900,99.28572
2015-02-20,101.019997,102.0,100.18,101.980003,1442600,100.239163
2015-02-23,101.980003,102.889999,101.790001,102.760002,1107800,101.005846
2015-02-24,102.760002,103.139999,102.290001,102.970001,1169200,101.212261
2015-02-25,102.970001,103.709999,102.75,103.290001,1064500,101.526798
2015-02-26,102.93,103.639999,102.620003,102.980003,1711900,101.222092
2015-02-27,103.080002,103.309998,102.489998,102.760002,1329300,101.005846
2015-03-02,102.57,103.25,102.440002,103.099998,1948300,101.340039
2015-03-03,103.410004,103.970001,102.5,103.040001,1995400,101.281066
2015-03-04,102.529999,103.650002,102.129997,103.480003,1832600,101.713557
2015-03-05,103.739998,103.919998,103.169998,103.639999,1208400,101.870822
2015-03-06,103.190002,103.589996,102.0,102.260002,1549300,100.514382
2015-03-09,102.470001,103.580002,102.010002,103.339996,1295300,101.57594
2015-03-10,102.620003,103.519997,102.220001,102.93,1911700,101.172943
2015-03-11,103.400002,104.099998,102.949997,103.839996,1719900,102.067405
2015-03-12,104.0,105.519997,103.949997,105.379997,1448200,103.581117
2015-03-13,105.260002,106.379997,105.120003,106.150002,1746900,104.337977
2015-03-16,108.129997,110.199997,106.970001,110.129997,3548800,108.250033
2015-03-17,109.940002,110.709999,109.269997,110.360001,1786700,108.47611
2015-03-18,110.449997,112.279999,109.82,111.699997,2044000,109.793232
2015-03-19,111.879997,112.5,111.07,112.370003,1422200,110.4518
2015-03-20,112.980003,114.5,112.839996,113.459999,4380900,111.52319
2015-03-23,113.739998,114.529999,113.129997,113.639999,1920900,111.700118
2015-03-24,113.639999,114.730003,113.360001,113.889999,1913500,111.94585
2015-03-25,113.900002,114.599998,111.800003,112.139999,2066900,110.225723
2015-03-26,111.5,113.050003,110.540001,112.089996,2411800,110.176574
