Date,Open_SNA,High_SNA,Low_SNA,Close_SNA,Volume_SNA,AdjClose_SNA
2015-07-20,162.429993,164.470001,162.429993,163.970001,269200,161.580939
2015-07-21,163.339996,163.940002,161.429993,162.550003,340400,160.18163
2015-07-22,162.25,162.779999,161.279999,162.130005,415200,159.767752
2015-07-23,161.419998,164.169998,160.449997,162.070007,594700,159.708628
2015-07-24,162.75,163.440002,159.369995,159.740005,448700,157.412575
2015-07-27,157.889999,159.679993,156.809998,157.089996,503200,154.801177
2015-07-28,157.089996,161.330002,157.089996,161.130005,450700,158.782322
2015-07-29,161.770004,164.380005,160.789993,164.220001,346500,161.827297
2015-07-30,163.729996,164.820007,162.630005,164.380005,243300,161.984969
2015-07-31,165.0,165.860001,164.360001,164.800003,243700,162.398848
2015-08-03,164.850006,165.279999,162.5,163.610001,302600,161.226184
2015-08-04,163.25,166.0,163.25,165.580002,344000,163.167482
2015-08-05,166.820007,169.070007,166.690002,167.389999,491800,164.951108
2015-08-06,167.380005,168.279999,165.460007,165.880005,284700,163.463114
2015-08-07,165.800003,166.940002,164.830002,166.070007,319000,163.650348
2015-08-10,167.720001,169.059998,167.210007,167.509995,368700,165.069354
2015-08-11,166.229996,166.559998,164.649994,165.139999,396500,162.73389
2015-08-12,163.889999,165.259995,162.479996,165.110001,291800,162.704329
2015-08-13,164.839996,167.169998,164.839996,166.529999,269600,164.103637
2015-08-14,166.570007,168.199997,166.199997,168.070007,184300,165.621208
2015-08-17,168.080002,169.690002,166.899994,169.509995,313400,167.040214
2015-08-18,169.770004,170.699997,169.690002,169.990005,234500,167.513231
2015-08-19,169.300003,170.389999,168.119995,169.479996,318500,167.010652
2015-08-20,167.960007,169.070007,166.580002,166.690002,352600,164.26131
2015-08-21,164.539993,166.580002,160.869995,160.919998,894800,159.081187
2015-08-24,152.869995,159.5,150.479996,154.259995,774900,152.497286
2015-08-25,157.470001,157.660004,151.449997,151.479996,714300,149.749054
2015-08-26,154.940002,155.850006,150.869995,155.690002,587600,153.910954
2015-08-27,157.869995,160.429993,156.970001,160.050003,480600,158.221133
2015-08-28,159.289993,160.940002,158.740005,159.889999,304100,158.062958
2015-08-31,158.889999,160.990005,158.490005,159.770004,280200,157.944334
2015-09-01,156.990005,156.990005,153.520004,154.440002,524000,152.675237
2015-09-02,155.789993,156.009995,153.419998,155.419998,472300,153.644035
2015-09-03,155.800003,158.270004,155.610001,157.410004,402900,155.611301
2015-09-04,154.75,156.360001,153.75,154.399994,329400,152.635686
2015-09-08,157.360001,159.779999,156.699997,159.740005,292200,157.914678
2015-09-09,160.889999,161.940002,157.419998,157.660004,209400,155.858444
2015-09-10,157.419998,159.110001,156.970001,157.639999,266900,155.838668
2015-09-11,156.990005,158.300003,156.690002,157.860001,353400,156.056156
2015-09-14,157.880005,158.300003,156.910004,157.919998,383600,156.115468
2015-09-15,158.550003,159.520004,157.800003,158.539993,442900,156.728378
2015-09-16,158.720001,159.820007,158.179993,159.089996,467100,157.272096
2015-09-17,159.070007,161.440002,158.559998,159.149994,358400,157.331408
2015-09-18,157.309998,158.309998,155.399994,155.580002,1644900,153.80221
2015-09-21,156.839996,158.279999,156.039993,156.990005,327100,155.196102
2015-09-22,155.059998,155.559998,154.009995,155.289993,359000,153.515515
2015-09-23,155.580002,155.580002,153.429993,153.770004,359800,152.012895
2015-09-24,152.330002,154.220001,150.570007,152.369995,538100,150.628884
