Date,Open_MSI,High_MSI,Low_MSI,Close_MSI,Volume_MSI,AdjClose_MSI
2014-03-10,66.540001,66.660004,66.129997,66.43,724600,62.937376
2014-03-11,66.5,66.57,65.970001,66.080002,843200,62.605779
2014-03-12,62.790001,65.389999,62.470001,65.019997,1469000,61.891857
2014-03-13,65.059998,65.169998,64.110001,64.209999,1242900,61.120829
2014-03-14,63.84,64.139999,63.490002,63.669998,1142300,60.606807
2014-03-17,64.059998,65.139999,63.889999,65.080002,1278600,61.948975
2014-03-18,65.120003,66.089996,65.099998,65.720001,1053200,62.558184
2014-03-19,65.739998,66.370003,65.309998,65.699997,912900,62.539142
2014-03-20,65.459999,66.949997,65.260002,66.660004,1051800,63.452963
2014-03-21,67.209999,67.339996,66.470001,66.809998,2518200,63.59574
2014-03-24,66.800003,66.870003,65.830002,66.050003,1021700,62.872309
2014-03-25,66.269997,66.68,65.769997,66.18,834900,62.996052
2014-03-26,66.449997,66.769997,65.139999,65.160004,1121700,62.025128
2014-03-27,64.790001,65.139999,63.98,64.360001,1151600,61.263614
2014-03-28,64.540001,64.82,64.150002,64.300003,752800,61.206503
2014-03-31,64.519997,64.970001,64.209999,64.290001,1063400,61.196982
2014-04-01,64.400002,64.980003,64.169998,64.910004,1067900,61.787156
2014-04-02,64.959999,65.519997,64.779999,65.099998,844500,61.96801
2014-04-03,64.830002,65.599998,64.75,65.089996,1072500,61.958489
2014-04-04,65.279999,65.599998,64.220001,64.260002,1281600,61.168426
2014-04-07,64.080002,64.690002,64.080002,64.43,1215900,61.330246
2014-04-08,64.32,65.290001,64.209999,64.949997,1511400,61.825225
2014-04-09,65.0,65.449997,64.849998,65.260002,1019500,62.120316
2014-04-10,65.260002,65.360001,63.900002,63.990002,920500,60.911415
2014-04-11,63.700001,64.43,63.32,63.389999,905300,60.34028
2014-04-14,63.73,63.970001,63.259998,63.779999,843400,60.711516
2014-04-15,65.099998,65.099998,62.84,63.369999,6307100,60.321241
2014-04-16,63.52,63.52,62.200001,63.23,2453100,60.187977
2014-04-17,63.07,63.27,62.07,63.150002,2666500,60.111828
2014-04-21,62.91,62.91,62.080002,62.509998,1428300,59.502616
2014-04-22,62.5,63.52,62.25,63.27,2119800,60.226054
2014-04-23,63.380001,63.630001,62.639999,63.290001,1530400,60.245092
2014-04-24,63.610001,63.77,62.919998,63.0,1280800,59.969043
2014-04-25,62.869999,62.950001,62.200001,62.5,1083800,59.493098
2014-04-28,63.07,63.48,62.23,62.639999,2031600,59.626362
2014-04-29,63.0,63.669998,62.709999,63.43,1152700,60.378356
2014-04-30,63.43,63.779999,63.060001,63.580002,1574500,60.521141
2014-05-01,60.18,62.740002,59.919998,62.650002,4819100,59.635883
2014-05-02,62.540001,65.879997,62.369999,65.510002,5733900,62.358288
2014-05-05,65.059998,67.389999,65.019997,66.150002,7600300,62.967497
2014-05-06,65.790001,66.919998,65.589996,66.400002,5453100,63.205469
2014-05-07,66.260002,67.260002,66.120003,67.139999,2506600,63.909865
2014-05-08,66.93,67.879997,66.830002,67.379997,1968900,64.138317
2014-05-09,67.360001,67.669998,66.82,67.260002,1928600,64.024095
2014-05-12,67.370003,68.099998,67.370003,67.800003,1274400,64.538116
2014-05-13,67.730003,68.330002,67.510002,67.75,1453800,64.490519
2014-05-14,67.629997,67.940002,67.160004,67.199997,1159300,63.966977
2014-05-15,67.330002,67.449997,66.199997,66.339996,1859300,63.148351
2014-05-16,66.419998,66.5,65.839996,66.300003,4270700,63.110282
2014-05-19,66.239998,67.07,66.080002,66.879997,1604600,63.662372
2014-05-20,66.889999,66.989998,66.150002,66.519997,3607900,63.319691
2014-05-21,66.779999,67.18,66.690002,66.889999,944200,63.671893
2014-05-22,66.279999,66.949997,66.040001,66.629997,1613800,63.4244
2014-05-23,66.68,67.18,66.510002,67.0,2423600,63.776601
2014-05-27,67.190002,67.290001,66.980003,67.019997,1699600,63.795636
2014-05-28,67.120003,67.18,66.910004,66.93,1766500,63.70997
2014-05-29,67.050003,67.099998,66.900002,66.910004,1259000,63.690935
2014-05-30,67.059998,67.779999,66.870003,67.419998,3006400,64.176393
2014-06-02,67.379997,67.75,67.209999,67.400002,1296400,64.157359
2014-06-03,66.940002,67.470001,66.82,66.860001,1481900,63.643338
2014-06-04,66.629997,67.25,66.610001,67.230003,1232700,63.995539
2014-06-05,67.230003,67.709999,67.089996,67.169998,1651800,63.938421
2014-06-06,67.309998,67.730003,67.239998,67.660004,1282400,64.404852
2014-06-09,67.529999,67.970001,67.529999,67.669998,1130300,64.414366
2014-06-10,67.739998,67.959999,67.5,67.699997,1305000,64.442921
2014-06-11,67.339996,67.5,66.849998,66.93,1017800,64.003042
2014-06-12,66.839996,67.029999,66.290001,66.459999,1310000,63.553595
2014-06-13,66.699997,67.089996,66.629997,66.779999,695400,63.859601
2014-06-16,66.709999,67.129997,66.660004,66.720001,962000,63.802227
2014-06-17,66.610001,66.910004,66.529999,66.639999,712700,63.725724
2014-06-18,66.75,66.889999,66.519997,66.620003,1191100,63.706601
2014-06-19,66.610001,67.07,66.610001,67.059998,1285100,64.127355
2014-06-20,67.239998,67.5,66.949997,67.07,2179700,64.136919
2014-06-23,67.040001,67.32,66.910004,67.099998,817200,64.165606
2014-06-24,66.940002,67.190002,66.699997,66.730003,987400,63.811792
2014-06-25,66.610001,66.610001,66.269997,66.550003,905100,63.639663
2014-06-26,66.68,66.68,66.160004,66.559998,575100,63.64922
2014-06-27,66.330002,66.849998,66.050003,66.779999,3307400,63.859601
2014-06-30,66.889999,66.970001,66.510002,66.57,2656500,63.658785
2014-07-01,66.900002,67.269997,66.839996,66.959999,2449700,64.031729
2014-07-02,66.760002,67.080002,66.68,67.019997,942500,64.089103
2014-07-03,67.220001,67.480003,67.059998,67.410004,553500,64.462054
2014-07-07,67.18,67.559998,67.18,67.239998,939700,64.299483
2014-07-08,66.970001,67.209999,65.980003,66.269997,2590300,63.371902
2014-07-09,66.370003,66.68,66.239998,66.580002,1173800,63.66835
2014-07-10,66.099998,66.599998,65.949997,66.449997,935800,63.54403
2014-07-11,66.32,66.370003,65.900002,66.0,978800,63.113712
2014-07-14,66.029999,66.519997,66.010002,66.080002,1079600,63.190216
2014-07-15,66.220001,66.440002,65.019997,65.489998,2549600,62.626014
2014-07-16,65.709999,65.980003,65.57,65.669998,1612600,62.798142
2014-07-17,65.480003,65.650002,64.910004,64.940002,1475700,62.10007
2014-07-18,65.260002,65.68,65.07,65.489998,1842900,62.626014
2014-07-21,65.449997,65.879997,65.300003,65.739998,1259800,62.865081
2014-07-22,65.940002,66.419998,65.800003,66.050003,1104400,63.161529
2014-07-23,66.080002,66.089996,65.669998,65.769997,914100,62.893767
2014-07-24,66.0,66.029999,65.529999,65.610001,1192700,62.740768
2014-07-25,65.440002,65.449997,64.919998,65.0,792100,62.157444
2014-07-28,64.959999,65.360001,64.779999,65.209999,757900,62.35826
2014-07-29,65.32,65.489998,64.720001,64.739998,1141900,61.908812
2014-07-30,64.989998,65.07,64.580002,64.830002,1015100,61.99488
2014-07-31,64.519997,64.610001,63.59,63.68,1617700,60.89517
2014-08-01,63.799999,64.190002,63.549999,63.82,1130100,61.029047
2014-08-04,63.799999,64.349998,63.599998,64.110001,2604200,61.306366
2014-08-05,61.52,62.759998,60.540001,61.389999,3399900,58.705315
2014-08-06,61.02,61.439999,60.57,61.209999,3200700,58.533186
2014-08-07,61.25,62.299999,61.189999,61.25,2258100,58.571438
2014-08-08,61.380001,62.209999,61.209999,62.189999,1499600,59.470329
2014-08-11,62.240002,62.299999,61.709999,61.73,948800,59.030446
2014-08-12,61.73,61.84,61.25,61.639999,1229200,58.944382
2014-08-13,61.830002,62.310001,61.709999,62.029999,1658500,59.317326
2014-08-14,62.119999,62.169998,61.450001,61.52,1451000,58.829631
2014-08-15,61.830002,61.869999,60.689999,61.0,2979600,58.332371
2014-08-18,61.310001,61.619999,60.790001,60.810001,4838800,58.150681
2014-08-19,60.880001,61.619999,60.880001,61.369999,2702000,58.686189
2014-08-20,61.32,61.799999,61.259998,61.639999,1419200,58.944382
2014-08-21,61.540001,61.759998,61.360001,61.700001,1578800,59.001759
2014-08-22,61.68,61.689999,61.209999,61.23,1482100,58.552312
2014-08-25,61.52,61.599998,60.990002,61.02,1194300,58.351496
2014-08-26,61.139999,61.18,60.220001,60.299999,2413500,57.662982
2014-08-27,60.299999,60.540001,59.459999,59.68,2108100,57.070097
2014-08-28,59.41,59.599998,59.220001,59.369999,1992900,56.773652
2014-08-29,59.540001,59.630001,59.029999,59.400002,2113700,56.802343
2014-09-02,59.310001,59.439999,58.860001,59.009998,2270900,56.429395
2014-09-03,58.970001,59.18,58.740002,58.939999,2255600,56.362456
2014-09-04,58.970001,59.150002,58.860001,58.98,2950500,56.400708
2014-09-05,58.91,59.110001,58.610001,58.889999,2447700,56.314644
2014-09-08,58.880001,61.130001,58.73,61.02,11481100,58.351496
2014-09-09,60.880001,61.189999,60.450001,61.080002,2577800,58.408874
2014-09-10,61.099998,61.41,61.009998,61.220001,1766900,58.542751
2014-09-11,60.740002,61.240002,60.68,61.220001,1117300,58.869697
2014-09-12,61.110001,61.73,60.880001,61.540001,2069600,59.177412
2014-09-15,61.599998,61.599998,61.189999,61.419998,1838200,59.062016
2014-09-16,61.27,61.860001,61.27,61.689999,1476400,59.321651
2014-09-17,61.720001,62.099998,61.650002,61.91,2275200,59.533206
2014-09-18,61.959999,62.150002,61.630001,62.040001,1952400,59.658216
2014-09-19,62.240002,62.43,61.549999,61.880001,2332500,59.504359
2014-09-22,61.689999,61.93,61.150002,61.68,1479200,59.312036
2014-09-23,61.529999,61.77,61.369999,61.57,1491900,59.206259
2014-09-24,61.459999,61.869999,61.220001,61.799999,1765300,59.427428
2014-09-25,61.73,62.419998,61.459999,62.240002,2384200,59.850539
2014-09-26,62.27,63.450001,62.259998,63.419998,3410400,60.985234
2014-09-29,62.959999,63.32,62.52,63.18,2216600,60.75445
2014-09-30,63.18,63.419998,63.0,63.279999,1635500,60.850609
2014-10-01,63.380001,63.380001,62.27,62.34,3382100,59.946698
2014-10-02,62.060001,62.200001,60.860001,61.029999,2723200,58.686989
2014-10-03,61.080002,61.48,60.639999,61.299999,1798400,58.946624
2014-10-06,61.299999,61.709999,61.139999,61.5,1399500,59.138947
2014-10-07,61.23,61.540001,60.470001,60.470001,1467300,58.148491
2014-10-08,60.41,61.639999,60.130001,61.580002,1810200,59.215877
2014-10-09,61.349998,61.700001,60.380001,60.459999,1427200,58.138872
2014-10-10,60.34,60.560001,59.029999,59.049999,2057400,56.783004
2014-10-13,59.07,59.23,58.330002,58.5,2072000,56.25412
2014-10-14,58.880001,59.43,58.509998,58.73,1719200,56.475289
2014-10-15,58.259998,59.459999,57.790001,59.32,2551700,57.042639
2014-10-16,58.349998,59.5,58.349998,59.18,1579500,56.908014
2014-10-17,59.599998,60.93,59.599998,60.790001,2226800,58.456205
2014-10-20,60.560001,61.259998,60.330002,61.25,1428800,58.898544
2014-10-21,61.75,62.459999,61.419998,62.389999,1351200,59.994778
2014-10-22,62.369999,62.610001,61.560001,61.630001,1451300,59.263957
2014-10-23,62.310001,62.5,62.119999,62.25,2149800,59.860153
2014-10-24,62.25,62.66,62.119999,62.57,1600400,60.167868
2014-10-27,62.560001,62.970001,62.130001,62.799999,1788000,60.389037
2014-10-28,62.84,64.059998,62.48,64.059998,2645600,61.600663
2014-10-29,64.0,64.510002,63.740002,63.939999,2370400,61.485271
2014-10-30,63.919998,64.32,62.380001,64.080002,2456700,61.619899
2014-10-31,64.410004,65.150002,64.410004,64.5,3633700,62.023773
2014-11-03,64.510002,64.970001,64.099998,64.68,2593200,62.196863
2014-11-04,64.690002,66.989998,64.610001,66.760002,4057100,64.197011
2014-11-05,66.5,66.699997,63.57,64.459999,4288400,61.985308
2014-11-06,64.459999,64.459999,63.299999,63.419998,2683600,60.985234
2014-11-07,63.439999,64.160004,62.610001,64.139999,3142700,61.677593
2014-11-10,64.129997,64.400002,63.709999,63.939999,2450000,61.485271
2014-11-11,63.970001,64.0,63.43,63.549999,1929200,61.110244
2014-11-12,63.419998,63.939999,63.349998,63.700001,1569400,61.254487
2014-11-13,63.860001,64.510002,63.860001,64.43,1655800,61.956461
2014-11-14,64.379997,65.269997,64.110001,65.25,1314900,62.74498
2014-11-17,65.0,65.400002,64.900002,65.400002,1921300,62.889223
2014-11-18,65.400002,66.230003,65.269997,66.0,1394300,63.466187
2014-11-19,65.989998,66.139999,65.610001,65.940002,1175200,63.408492
2014-11-20,65.860001,66.110001,65.580002,65.660004,1958800,63.139243
2014-11-21,66.260002,66.470001,65.220001,65.269997,2656600,62.764209
2014-11-24,65.379997,65.970001,65.239998,65.809998,1601000,63.283478
2014-11-25,65.800003,65.870003,65.559998,65.599998,1043000,63.081542
2014-11-26,65.589996,65.879997,65.529999,65.559998,842600,63.043076
2014-11-28,65.199997,66.080002,65.199997,65.720001,728900,63.196937
2014-12-01,65.589996,65.760002,65.419998,65.440002,1250300,62.927688
2014-12-02,65.440002,65.690002,65.269997,65.510002,1129100,62.995
2014-12-03,65.510002,65.760002,65.239998,65.32,1865200,62.812292
2014-12-04,65.400002,65.669998,65.089996,65.199997,1407200,62.696896
2014-12-05,65.290001,65.339996,64.730003,65.0,1495300,62.504578
2014-12-08,65.110001,65.790001,65.040001,65.269997,1168600,62.764209
2014-12-09,64.839996,65.309998,64.410004,65.290001,767200,62.783445
2014-12-10,65.32,65.32,63.48,63.52,1191900,61.081397
2014-12-11,63.290001,64.339996,63.200001,63.290001,1506600,61.187741
2014-12-12,62.950001,63.279999,62.310001,62.310001,2087100,60.240294
2014-12-15,62.700001,62.98,61.639999,61.91,1520200,59.853579
2014-12-16,61.82,63.029999,61.630001,61.73,1843000,59.679558
2014-12-17,62.439999,64.120003,62.419998,63.990002,1913600,61.864491
2014-12-18,64.739998,65.120003,64.400002,65.110001,1844700,62.947287
2014-12-19,65.43,65.830002,64.980003,65.5,3263600,63.324333
2014-12-22,65.470001,66.529999,65.470001,66.529999,1354600,64.320119
2014-12-23,66.639999,67.110001,66.540001,66.93,1210600,64.706833
2014-12-24,66.940002,67.699997,66.940002,67.339996,705800,65.103211
2014-12-26,67.43,67.75,67.330002,67.489998,733200,65.24823
2014-12-29,67.239998,67.870003,67.139999,67.870003,949900,65.615613
2014-12-30,67.610001,67.980003,67.510002,67.529999,980800,65.286902
2014-12-31,67.540001,67.75,67.029999,67.080002,972800,64.851853
2015-01-02,67.540001,67.730003,66.360001,66.510002,1077900,64.300786
2015-01-05,66.239998,66.470001,64.959999,65.059998,1628800,62.898945
