Date,Open_AON,High_AON,Low_AON,Close_AON,Volume_AON,AdjClose_AON
2014-07-01,90.190002,91.07,90.089996,90.800003,954700,88.600076
2014-07-02,90.5,91.029999,90.099998,90.239998,834400,88.053638
2014-07-03,90.580002,90.610001,89.93,90.300003,655600,88.11219
2014-07-07,90.139999,90.620003,89.849998,90.529999,779600,88.336613
2014-07-08,90.470001,90.470001,89.82,90.080002,787500,87.897519
2014-07-09,90.0,90.18,89.650002,89.980003,654900,87.799943
2014-07-10,89.559998,90.290001,89.029999,89.959999,1183800,87.780424
2014-07-11,89.75,90.25,89.480003,90.089996,713700,87.907271
2014-07-14,90.269997,90.860001,89.970001,90.019997,1031600,87.838967
2014-07-15,90.230003,90.300003,89.349998,89.489998,1257600,87.32181
2014-07-16,89.949997,89.959999,89.470001,89.610001,843700,87.438905
2014-07-17,89.330002,89.900002,89.040001,89.059998,1028600,86.902227
2014-07-18,89.309998,89.720001,88.900002,89.690002,759900,87.516968
2014-07-21,89.199997,89.800003,88.699997,89.699997,1175200,87.526721
2014-07-22,89.940002,91.160004,89.709999,91.050003,1376200,88.844019
2014-07-23,91.230003,91.279999,90.870003,91.080002,1295400,88.873291
2014-07-24,91.25,91.25,90.769997,90.970001,1422200,88.765955
2014-07-25,90.089996,90.089996,85.809998,86.32,2810400,84.228615
2014-07-28,85.550003,87.550003,85.550003,87.400002,1611900,85.28245
2014-07-29,87.419998,87.629997,86.139999,86.139999,1529000,84.052976
2014-07-30,86.089996,86.220001,84.959999,86.089996,1587300,84.248699
2014-07-31,85.589996,85.900002,84.32,84.360001,1595100,82.555704
2014-08-01,84.239998,84.629997,83.720001,83.940002,1251000,82.144689
2014-08-04,84.269997,84.519997,83.5,84.389999,1181100,82.585062
2014-08-05,84.129997,84.18,83.110001,83.209999,1716500,81.430299
2014-08-06,83.059998,84.220001,83.059998,83.559998,1763100,81.772812
2014-08-07,83.769997,83.839996,83.110001,83.480003,1102900,81.694529
2014-08-08,83.690002,84.699997,83.660004,84.559998,1030600,82.751424
2014-08-11,84.68,85.089996,84.330002,84.870003,1076500,83.054799
2014-08-12,84.610001,85.379997,84.610001,84.980003,936900,83.162446
2014-08-13,85.589996,86.230003,85.449997,85.870003,928800,84.03341
2014-08-14,85.800003,85.919998,85.169998,85.239998,1651500,83.41688
2014-08-15,85.489998,85.870003,84.129997,84.589996,2070600,82.780781
2014-08-18,84.980003,85.779999,84.900002,85.510002,1512900,83.68111
2014-08-19,85.720001,86.410004,85.480003,86.019997,2151900,84.180196
2014-08-20,85.629997,86.589996,85.629997,86.290001,1905400,84.444426
2014-08-21,86.309998,87.18,86.139999,86.93,1607400,85.070737
2014-08-22,87.050003,87.400002,86.480003,86.690002,1293900,84.835872
2014-08-25,87.010002,87.68,86.82,87.400002,1163600,85.530686
2014-08-26,87.419998,87.720001,87.059998,87.080002,1100400,85.21753
2014-08-27,87.120003,87.519997,86.690002,86.830002,827400,84.972877
2014-08-28,86.43,87.190002,86.349998,86.910004,756900,85.051168
2014-08-29,87.209999,87.449997,86.760002,87.160004,898500,85.295821
2014-09-02,87.389999,88.349998,87.220001,87.699997,1179000,85.824265
2014-09-03,87.989998,88.139999,87.709999,87.790001,1118800,85.912344
2014-09-04,87.870003,88.610001,87.519997,87.980003,1292900,86.098282
2014-09-05,87.760002,87.779999,87.089996,87.529999,1129100,85.657902
2014-09-08,87.230003,88.0,87.120003,87.480003,751200,85.608976
2014-09-09,87.239998,87.489998,86.389999,86.470001,1125900,84.620576
2014-09-10,86.68,87.120003,86.410004,86.709999,685900,84.855441
2014-09-11,86.239998,87.139999,86.209999,86.839996,708400,84.982658
2014-09-12,86.910004,87.300003,86.68,87.080002,1057900,85.21753
2014-09-15,87.099998,87.660004,86.769997,87.300003,1028100,85.432826
2014-09-16,87.089996,87.400002,86.650002,87.010002,860500,85.149028
2014-09-17,87.389999,87.660004,86.68,86.989998,1384200,85.129451
2014-09-18,87.419998,88.0,87.139999,87.900002,1280900,86.019992
2014-09-19,87.800003,87.82,86.809998,86.919998,2513600,85.060949
2014-09-22,86.730003,86.809998,86.239998,86.5,885900,84.649933
2014-09-23,86.190002,86.580002,86.080002,86.269997,2053600,84.424849
2014-09-24,86.209999,87.440002,86.160004,87.290001,802800,85.423038
2014-09-25,86.940002,87.029999,86.18,86.300003,1336800,84.454214
2014-09-26,86.470001,87.470001,86.269997,87.190002,935900,85.325178
2014-09-29,86.410004,87.620003,86.339996,87.510002,1163100,85.638333
2014-09-30,87.400002,87.879997,87.230003,87.669998,1779200,85.794908
2014-10-01,87.489998,87.639999,86.370003,86.650002,1760500,84.796727
2014-10-02,86.730003,87.239998,86.230003,86.860001,945700,85.002234
2014-10-03,87.330002,88.010002,86.949997,87.580002,1079700,85.706836
2014-10-06,87.790001,87.959999,87.029999,87.269997,1207900,85.403461
2014-10-07,86.650002,86.980003,85.419998,85.43,1762500,83.602819
2014-10-08,84.879997,84.879997,82.5,83.480003,4533500,81.694529
2014-10-09,83.43,84.160004,81.260002,81.269997,2929600,79.53179
2014-10-10,81.75,82.589996,80.419998,80.449997,2630800,78.729328
2014-10-13,80.629997,80.949997,79.510002,79.550003,2030000,77.848583
2014-10-14,79.830002,80.739998,79.669998,80.050003,2011800,78.337889
2014-10-15,79.290001,80.330002,78.260002,80.0,3116500,78.288956
2014-10-16,79.239998,80.510002,79.239998,79.93,1863300,78.220453
2014-10-17,80.610001,81.480003,79.93,80.970001,1674600,79.23821
2014-10-20,80.419998,81.330002,80.050003,80.199997,2597200,78.484675
2014-10-21,80.910004,81.959999,80.760002,81.93,3093500,80.177677
2014-10-22,82.18,82.379997,81.639999,81.68,1558100,79.933024
2014-10-23,82.480003,82.839996,81.339996,81.580002,1288000,79.835164
2014-10-24,81.5,82.410004,81.339996,82.379997,852900,80.618049
2014-10-27,82.449997,82.839996,82.110001,82.480003,818200,80.715917
2014-10-28,82.919998,83.5,82.739998,83.489998,971200,81.704309
2014-10-29,83.900002,83.900002,82.459999,82.849998,1368100,81.077998
2014-10-30,82.559998,83.779999,82.360001,83.089996,1780000,81.558965
2014-10-31,83.529999,86.059998,83.529999,86.0,2073100,84.415349
2014-11-03,86.190002,87.32,85.879997,87.18,1470900,85.573606
2014-11-04,87.260002,88.529999,86.800003,88.449997,1575200,86.820201
2014-11-05,88.800003,88.839996,88.169998,88.669998,927900,87.036149
2014-11-06,88.510002,89.18,88.349998,89.18,1389700,87.536754
2014-11-07,89.0,89.879997,88.809998,89.82,1495300,88.16496
2014-11-10,89.480003,90.709999,89.449997,90.709999,1090700,89.03856
2014-11-11,90.5,91.0,89.800003,90.18,1039300,88.518327
2014-11-12,90.150002,90.599998,89.610001,90.379997,874000,88.714639
2014-11-13,90.260002,90.93,89.839996,89.910004,1017000,88.253306
2014-11-14,89.809998,90.690002,89.559998,89.849998,881000,88.194406
2014-11-17,90.449997,90.730003,90.160004,90.470001,988400,88.802985
2014-11-18,90.440002,90.949997,90.169998,90.589996,945400,88.920769
2014-11-19,90.290001,90.75,90.040001,90.389999,1032100,88.724457
2014-11-20,89.760002,90.949997,89.760002,90.32,1126500,88.655747
2014-11-21,91.220001,91.519997,90.410004,91.389999,1636800,89.706031
2014-11-24,91.639999,92.400002,91.400002,92.309998,1038900,90.609077
2014-11-25,92.5,92.5,91.900002,91.93,1338800,90.236082
