Date,Open_TSO,High_TSO,Low_TSO,Close_TSO,Volume_TSO,AdjClose_TSO
2015-03-13,84.349998,86.900002,84.349998,86.230003,2430900,83.898159
2015-03-16,85.82,87.860001,85.129997,87.809998,2529300,85.435426
2015-03-17,86.75,89.449997,86.300003,89.120003,3127800,86.710006
2015-03-18,89.139999,93.870003,88.900002,93.540001,3679300,91.010478
2015-03-19,92.75,93.580002,92.120003,93.089996,2004300,90.572643
2015-03-20,92.330002,94.07,92.32,93.510002,3169600,90.981291
2015-03-23,93.82,94.709999,92.239998,92.360001,2253600,89.862388
2015-03-24,92.239998,92.239998,89.730003,90.32,2789600,87.877553
2015-03-25,91.260002,94.150002,91.25,91.610001,3706600,89.132669
2015-03-26,92.150002,92.230003,90.519997,91.169998,1564400,88.704565
2015-03-27,91.559998,92.230003,89.720001,89.900002,1759400,87.468912
2015-03-30,90.209999,91.720001,89.169998,91.150002,3202100,88.685109
2015-03-31,90.860001,92.489998,90.580002,91.290001,2060500,88.821323
2015-04-01,91.550003,91.82,90.339996,91.309998,1681900,88.840779
2015-04-02,90.919998,91.150002,86.32,86.610001,3188300,84.26788
2015-04-06,87.150002,88.610001,85.519997,86.650002,2600700,84.306799
2015-04-07,87.279999,87.910004,85.150002,85.559998,2516000,83.246271
2015-04-08,85.160004,87.160004,85.160004,85.529999,2137400,83.217084
2015-04-09,86.690002,86.980003,84.68,85.290001,1691500,82.983576
2015-04-10,85.839996,86.129997,85.059998,85.980003,1348600,83.654919
2015-04-13,85.940002,86.129997,81.769997,82.120003,3116100,79.899301
2015-04-14,83.0,83.309998,82.010002,82.790001,2449600,80.551181
2015-04-15,83.050003,83.709999,82.5,83.330002,2389000,81.076579
2015-04-16,83.330002,85.400002,82.949997,85.120003,2257900,82.818175
2015-04-17,84.830002,85.290001,84.010002,84.790001,3018400,82.497097
2015-04-20,84.849998,85.220001,83.389999,83.620003,1944000,81.358738
2015-04-21,83.610001,86.190002,83.360001,85.879997,1907200,83.557617
2015-04-22,86.309998,89.769997,85.279999,89.529999,3357100,87.108915
2015-04-23,87.220001,87.510002,84.309998,86.5,5490400,84.160854
2015-04-24,86.879997,90.779999,86.879997,89.629997,3464400,87.206209
2015-04-27,89.57,89.629997,88.150002,88.989998,2107400,86.583517
2015-04-28,88.720001,89.129997,87.830002,88.510002,1789200,86.116501
2015-04-29,88.190002,88.639999,86.269997,86.800003,2287500,84.452744
2015-04-30,86.93,87.470001,85.0,85.830002,2807500,83.508974
2015-05-01,85.910004,90.290001,85.68,89.910004,2068000,87.478644
2015-05-04,89.940002,90.0,88.129997,89.330002,1817200,86.914326
2015-05-05,89.160004,90.190002,88.610001,89.290001,2080100,86.875407
2015-05-06,89.5,89.660004,88.040001,88.82,1587000,86.418116
2015-05-07,88.699997,89.169998,87.529999,88.82,3425400,86.418116
2015-05-08,88.940002,90.970001,87.760002,90.480003,3107800,88.033229
2015-05-11,90.519997,90.989998,86.879997,88.239998,2922600,85.853799
2015-05-12,88.129997,89.400002,87.129997,88.169998,2846000,85.785692
2015-05-13,88.690002,89.57,87.910004,88.800003,1973800,86.39866
2015-05-14,89.160004,92.230003,88.800003,91.93,2421700,89.444015
2015-05-15,91.889999,92.82,90.550003,91.360001,3149700,88.88943
2015-05-18,91.389999,93.139999,90.370003,92.790001,1549600,90.28076
2015-05-19,92.470001,92.730003,91.010002,91.209999,2034400,88.743485
2015-05-20,91.220001,92.129997,90.029999,90.639999,1754600,88.188899
2015-05-21,90.349998,90.989998,89.849998,90.489998,1181400,88.042954
2015-05-22,90.0,91.440002,89.730003,90.089996,1183300,87.653769
2015-05-26,89.489998,90.07,88.300003,88.769997,1336800,86.369465
2015-05-27,89.129997,89.889999,87.790001,88.400002,1835000,86.423238
2015-05-28,88.309998,89.660004,87.93,89.019997,1615200,87.029369
2015-05-29,89.540001,91.470001,87.75,88.5,2583100,86.521
2015-06-01,89.029999,89.550003,87.43,87.639999,1891400,85.680231
2015-06-02,87.739998,87.870003,85.440002,85.839996,2163800,83.920479
2015-06-03,85.480003,85.989998,84.239998,84.730003,1773200,82.835307
2015-06-04,84.0,84.910004,83.199997,83.370003,1951100,81.505718
2015-06-05,83.209999,84.720001,83.150002,84.199997,1612500,82.317152
2015-06-08,83.830002,85.379997,83.269997,83.779999,1293000,81.906546
2015-06-09,84.290001,84.290001,82.82,83.019997,1182600,81.163539
2015-06-10,82.82,84.550003,82.82,84.279999,1495700,82.395365
2015-06-11,84.199997,85.370003,83.849998,84.290001,1342200,82.405144
2015-06-12,83.68,84.059998,83.290001,83.550003,879700,81.681693
2015-06-15,83.279999,83.779999,82.900002,83.139999,1087500,81.280858
2015-06-16,83.419998,83.739998,82.980003,83.370003,805900,81.505718
2015-06-17,84.040001,84.900002,82.949997,83.580002,1098200,81.711021
2015-06-18,83.580002,85.400002,83.5,85.25,2070900,83.343676
2015-06-19,84.900002,86.690002,84.900002,85.089996,1968300,83.18725
