Date,Open_TROW,High_TROW,Low_TROW,Close_TROW,Volume_TROW,AdjClose_TROW
2015-07-09,76.739998,77.169998,76.480003,76.610001,2030700,74.372914
2015-07-10,77.480003,77.580002,76.919998,77.43,1193500,75.168969
2015-07-13,78.129997,78.379997,77.730003,78.309998,1209800,76.02327
2015-07-14,78.339996,78.459999,77.910004,78.089996,1077600,75.809693
2015-07-15,78.379997,78.529999,77.870003,78.190002,1113600,75.906778
2015-07-16,78.690002,79.519997,78.410004,79.510002,1464000,77.188233
2015-07-17,79.160004,79.5,79.019997,79.419998,1180900,77.100857
2015-07-20,79.529999,79.620003,79.050003,79.349998,792500,77.032901
2015-07-21,79.139999,79.739998,78.739998,79.07,1029800,76.761079
2015-07-22,79.07,79.220001,78.449997,78.739998,1639200,76.440713
2015-07-23,78.059998,78.980003,77.029999,77.279999,2349900,75.023348
2015-07-24,77.099998,77.559998,75.989998,76.839996,1714000,74.596194
2015-07-27,76.580002,76.900002,75.550003,76.629997,1427900,74.392327
2015-07-28,77.370003,77.379997,76.650002,77.160004,1042700,74.906857
2015-07-29,77.379997,77.769997,76.93,77.559998,1105300,75.29517
2015-07-30,77.089996,77.830002,77.019997,77.5,1175200,75.236925
2015-07-31,77.629997,77.980003,77.019997,77.129997,1431800,74.877726
2015-08-03,77.129997,77.389999,76.709999,77.239998,1100100,74.984515
2015-08-04,77.25,77.769997,76.730003,77.050003,1113600,74.800068
2015-08-05,77.339996,77.489998,76.07,76.480003,1561900,74.246713
2015-08-06,76.849998,76.870003,75.459999,75.889999,1164100,73.673938
2015-08-07,76.059998,76.269997,75.330002,75.839996,969300,73.625395
2015-08-10,76.510002,76.900002,76.25,76.889999,1181900,74.644737
2015-08-11,76.669998,76.669998,75.879997,76.18,1131000,73.95547
2015-08-12,75.739998,75.760002,74.040001,75.470001,2510300,73.266204
2015-08-13,75.379997,76.360001,75.019997,75.830002,982000,73.615692
2015-08-14,75.589996,76.150002,75.5,76.07,772200,73.848682
2015-08-17,75.5,76.279999,75.360001,76.230003,819100,74.004013
