Date,Open_PH,High_PH,Low_PH,Close_PH,Volume_PH,AdjClose_PH
2015-01-20,120.220001,121.650002,119.190002,121.120003,1220600,117.009087
2015-01-21,120.68,122.400002,120.169998,122.110001,1129400,117.965483
2015-01-22,122.699997,123.330002,121.230003,122.989998,1845400,118.815613
2015-01-23,122.650002,123.43,121.849998,121.970001,1284900,117.830235
2015-01-26,122.230003,122.889999,120.949997,122.760002,2211400,118.593423
2015-01-27,122.480003,123.589996,119.160004,121.349998,3174100,117.231276
2015-01-28,121.279999,121.279999,116.440002,117.07,2957100,113.096544
2015-01-29,117.220001,118.68,116.050003,118.599998,1175800,114.574614
2015-01-30,117.510002,118.730003,116.260002,116.459999,1316800,112.507248
2015-02-02,117.449997,119.660004,116.309998,119.639999,1620800,115.579316
2015-02-03,120.529999,121.400002,120.160004,121.25,1093500,117.134672
2015-02-04,120.75,121.040001,119.129997,119.720001,1094200,115.656602
2015-02-05,120.0,121.190002,119.230003,120.330002,841900,116.245899
2015-02-06,120.07,121.190002,119.870003,120.580002,1573000,117.100505
2015-02-09,120.150002,121.510002,119.730003,120.839996,1268700,117.352997
2015-02-10,121.540001,121.620003,119.949997,121.309998,1301300,117.809435
2015-02-11,121.199997,121.379997,119.0,120.370003,1399600,116.896565
2015-02-12,121.199997,122.190002,120.730003,121.830002,1069800,118.314434
2015-02-13,122.120003,124.730003,121.970001,124.059998,1327100,120.48008
2015-02-17,123.970001,124.309998,122.339996,123.199997,777400,119.644896
2015-02-18,123.099998,123.699997,122.169998,122.849998,865000,119.304998
2015-02-19,122.059998,123.379997,121.800003,123.25,907700,119.693456
2015-02-20,122.879997,123.779999,121.910004,123.690002,924600,120.120762
2015-02-23,123.389999,123.68,122.220001,123.139999,682500,119.58663
2015-02-24,122.730003,123.879997,122.639999,123.529999,1301300,119.965375
2015-02-25,123.150002,123.959999,122.489998,123.440002,745100,119.877976
2015-02-26,123.290001,123.910004,122.540001,123.209999,1015600,119.65461
2015-02-27,122.919998,123.459999,121.07,122.690002,1315000,119.149618
2015-03-02,122.690002,124.230003,121.610001,123.769997,1228700,120.198448
2015-03-03,124.669998,125.940002,122.809998,123.370003,847300,119.809996
2015-03-04,122.580002,122.690002,120.639999,121.480003,1320800,117.974535
2015-03-05,121.690002,122.230003,120.660004,122.220001,1104200,118.69318
2015-03-06,120.75,121.209999,117.919998,118.269997,2066900,114.857158
2015-03-09,118.150002,118.559998,117.510002,118.410004,1826900,114.993125
2015-03-10,116.959999,117.620003,116.199997,116.849998,1035700,113.478136
2015-03-11,117.290001,117.860001,115.860001,117.639999,1666700,114.24534
2015-03-12,118.269997,118.629997,116.879997,118.410004,1357000,114.993125
2015-03-13,118.010002,118.010002,116.870003,117.720001,1255800,114.323033
2015-03-16,118.239998,120.139999,118.0,120.040001,1069800,116.576086
2015-03-17,119.0,119.519997,117.959999,119.43,1139400,115.983688
2015-03-18,118.830002,121.849998,117.480003,121.639999,1668400,118.129915
2015-03-19,120.769997,120.93,118.839996,119.57,904300,116.119647
2015-03-20,119.739998,121.0,119.169998,120.18,2540200,116.712046
2015-03-23,120.849998,120.860001,118.739998,119.040001,1279100,115.604943
2015-03-24,119.110001,120.050003,118.260002,119.529999,1021700,116.080801
2015-03-25,119.949997,120.440002,116.910004,116.989998,1568800,113.614095
2015-03-26,116.360001,117.800003,115.93,117.360001,1306900,113.973421
2015-03-27,118.019997,118.230003,116.949997,118.150002,728000,114.740625
2015-03-30,119.089996,119.730003,118.5,119.309998,1006000,115.867148
2015-03-31,118.690002,119.139999,117.5,118.779999,1138200,115.352443
2015-04-01,118.43,119.510002,116.910004,118.410004,1066300,114.993125
2015-04-02,118.300003,119.910004,117.879997,118.0,1054800,114.594952
2015-04-06,117.540001,122.550003,117.449997,121.459999,1443800,117.955108
2015-04-07,121.220001,121.5,119.800003,119.940002,893900,116.478973
2015-04-08,119.239998,120.0,118.129997,119.709999,1298100,116.255607
2015-04-09,119.540001,120.160004,118.120003,119.769997,956500,116.313873
2015-04-10,119.900002,120.830002,118.82,120.529999,792300,117.051945
2015-04-13,120.5,121.120003,119.769997,120.5,626300,117.022811
2015-04-14,120.440002,121.550003,119.760002,121.18,894100,117.683189
2015-04-15,121.540001,123.849998,121.540001,123.5,1110000,119.936242
