Date,Open_CVS,High_CVS,Low_CVS,Close_CVS,Volume_CVS,AdjClose_CVS
2015-04-20,100.809998,101.459999,100.519997,101.279999,4559100,99.413578
2015-04-21,101.5,101.919998,101.120003,101.410004,5004400,99.541187
2015-04-22,101.400002,101.669998,100.290001,101.230003,5561800,99.708628
2015-04-23,100.900002,101.230003,100.279999,100.879997,4120600,99.363882
2015-04-24,100.940002,101.849998,100.760002,101.580002,5418800,100.053367
2015-04-27,102.0,102.529999,101.190002,101.220001,5425500,99.698777
2015-04-28,101.199997,102.110001,100.739998,101.970001,4087700,100.437505
2015-04-29,101.669998,101.949997,100.190002,100.669998,6140400,99.157039
2015-04-30,100.419998,101.050003,99.010002,99.290001,7990100,97.797782
2015-05-01,100.93,101.18,97.870003,100.459999,6699100,98.950196
2015-05-04,100.57,101.32,100.010002,100.160004,3318800,98.65471
2015-05-05,100.110001,100.269997,98.190002,98.739998,4556500,97.256045
2015-05-06,98.82,99.150002,98.230003,98.870003,3648400,97.384096
2015-05-07,98.970001,99.540001,98.5,99.360001,3822900,97.86673
2015-05-08,99.849998,101.099998,99.849998,100.660004,4350700,99.147195
2015-05-11,100.510002,101.309998,100.339996,100.489998,3129000,98.979744
2015-05-12,100.019997,100.760002,99.769997,100.239998,4019500,98.733502
2015-05-13,100.459999,100.739998,99.470001,99.809998,3913200,98.309964
2015-05-14,100.400002,102.0,100.32,101.959999,4289400,100.427653
2015-05-15,102.059998,102.139999,101.389999,102.07,3788700,100.536
2015-05-18,101.779999,102.809998,101.699997,102.440002,2599700,100.900443
2015-05-19,102.650002,102.879997,101.949997,102.32,2969500,100.782243
2015-05-20,102.32,102.32,101.239998,101.269997,3800400,99.748021
2015-05-21,101.269997,104.93,101.099998,103.690002,7691600,102.131656
2015-05-22,103.900002,104.419998,103.370003,103.949997,3671400,102.387743
2015-05-26,103.970001,104.32,102.529999,102.849998,3692500,101.304277
2015-05-27,103.110001,103.860001,103.040001,103.480003,3537700,101.924813
2015-05-28,103.519997,103.720001,102.400002,103.190002,2599900,101.639171
2015-05-29,103.150002,103.209999,101.82,102.379997,4961500,100.841339
2015-06-01,102.900002,103.059998,102.089996,102.510002,3292000,100.96939
2015-06-02,102.050003,102.25,101.199997,101.830002,3002400,100.29961
2015-06-03,102.400002,102.599998,101.790001,101.910004,2780300,100.378409
2015-06-04,101.199997,101.959999,100.279999,100.870003,3896100,99.354038
2015-06-05,100.620003,100.760002,99.809998,99.949997,3536400,98.447859
2015-06-08,99.82,99.989998,99.169998,99.410004,3161400,97.915981
2015-06-09,99.410004,100.449997,99.139999,99.980003,3299700,98.477414
2015-06-10,100.5,102.379997,100.400002,102.129997,3909200,100.595096
2015-06-11,102.519997,103.370003,102.360001,102.629997,3361300,101.087582
2015-06-12,102.260002,102.82,101.68,102.220001,2930900,100.683748
2015-06-15,102.870003,103.349998,101.860001,102.580002,5501500,101.038338
2015-06-16,102.610001,103.279999,102.279999,103.169998,4010100,101.619467
2015-06-17,103.620003,104.160004,103.190002,103.82,3101900,102.2597
2015-06-18,104.07,106.0,104.040001,105.059998,4827100,103.481062
2015-06-19,105.470001,106.080002,104.779999,105.470001,5664400,103.884904
2015-06-22,105.93,106.5,105.720001,106.139999,3515700,104.544833
2015-06-23,106.440002,106.68,105.809998,106.470001,3787300,104.869875
2015-06-24,106.199997,106.879997,104.980003,105.330002,4655100,103.747008
2015-06-25,105.510002,106.110001,104.370003,105.010002,5300400,103.431818
2015-06-26,105.360001,105.879997,104.82,105.839996,15550100,104.249338
2015-06-29,104.980003,105.82,104.760002,104.809998,4671900,103.234819
2015-06-30,105.440002,105.699997,104.730003,104.879997,4251300,103.303767
2015-07-01,105.75,105.879997,104.860001,105.709999,3909500,104.121295
2015-07-02,105.830002,106.220001,105.360001,105.550003,2509700,103.963703
2015-07-06,103.879997,105.769997,103.629997,104.809998,4041100,103.234819
2015-07-07,105.099998,106.43,104.07,106.379997,4782300,104.781224
2015-07-08,105.370003,105.93,104.18,104.190002,4825900,102.624142
2015-07-09,106.010002,106.389999,105.589996,105.699997,5564500,104.111443
2015-07-10,106.849998,107.75,106.639999,107.440002,4486600,105.825298
2015-07-13,108.5,109.160004,107.82,109.160004,3720100,107.51945
2015-07-14,109.199997,109.959999,108.800003,109.82,3756800,108.169527
2015-07-15,109.529999,110.260002,109.209999,109.900002,4286800,108.248326
2015-07-16,110.43,110.699997,110.040001,110.540001,2937300,108.878707
2015-07-17,110.540001,110.540001,109.489998,110.139999,3004400,108.484717
2015-07-20,110.139999,111.150002,109.639999,110.980003,2579300,109.312097
2015-07-21,110.699997,110.940002,109.57,110.059998,2561400,108.748879
2015-07-22,110.110001,111.07,110.010002,110.980003,3130300,109.657925
2015-07-23,111.25,111.639999,109.989998,110.190002,2957600,108.877335
2015-07-24,110.5,111.269997,109.900002,110.489998,3255600,109.173757
2015-07-27,109.690002,110.040001,108.760002,109.769997,3979300,108.462333
2015-07-28,110.32,111.910004,110.059998,111.639999,4085500,110.310059
2015-07-29,111.669998,113.650002,111.650002,113.449997,4685500,112.098494
2015-07-30,112.690002,113.150002,112.25,112.940002,3920700,111.594575
2015-07-31,113.349998,113.5,112.449997,112.470001,4730100,111.130173
2015-08-03,113.169998,113.580002,112.050003,112.82,4774600,111.476002
2015-08-04,110.739998,111.300003,106.559998,109.959999,9542400,108.650072
2015-08-05,110.5,111.559998,110.269997,111.199997,4307500,109.875298
2015-08-06,111.410004,111.75,108.089996,108.120003,6783300,106.831995
2015-08-07,108.120003,108.279999,107.139999,107.739998,4548000,106.456517
2015-08-10,108.660004,109.349998,108.279999,108.620003,3335700,107.326038
2015-08-11,108.07,109.18,107.43,108.080002,2905300,106.79247
2015-08-12,107.589996,108.5,106.760002,108.32,3913800,107.029609
2015-08-13,108.779999,108.870003,107.330002,107.669998,3565200,106.387351
2015-08-14,107.769997,108.110001,107.32,107.669998,2087000,106.387351
2015-08-17,107.07,108.82,106.989998,108.739998,3405500,107.444604
2015-08-18,108.339996,108.849998,107.900002,108.459999,3032900,107.167941
2015-08-19,108.07,108.25,106.599998,106.760002,4685800,105.488196
2015-08-20,106.400002,107.550003,106.019997,106.019997,4754800,104.757006
2015-08-21,104.989998,105.230003,101.050003,102.209999,8199200,100.992396
2015-08-24,96.290001,104.209999,81.370003,100.209999,13610400,99.016221
2015-08-25,104.139999,104.410004,99.93,100.0,8518200,98.808724
2015-08-26,103.379997,103.540001,100.839996,102.870003,8957800,101.644537
2015-08-27,104.43,105.540001,103.050003,105.199997,6216200,103.946774
2015-08-28,105.389999,105.470001,103.379997,104.18,5082700,102.938929
2015-08-31,104.330002,104.349998,102.040001,102.400002,5010200,101.180135
2015-09-01,100.639999,101.389999,99.800003,100.269997,6787400,99.075504
2015-09-02,101.480003,102.059998,99.860001,101.110001,5809500,99.905501
2015-09-03,101.809998,102.830002,101.190002,101.589996,3963300,100.379779
2015-09-04,100.239998,100.860001,99.629997,100.120003,4361500,98.927297
2015-09-08,101.970001,102.190002,100.669998,102.139999,4641800,100.92323
2015-09-09,103.139999,103.589996,100.010002,100.230003,3886700,99.035987
2015-09-10,99.980003,101.699997,99.580002,100.800003,4151000,99.599196
2015-09-11,100.57,101.540001,100.209999,101.519997,3381000,100.310613
2015-09-14,101.540001,101.690002,100.019997,100.160004,3614100,98.966821
2015-09-15,100.800003,102.089996,100.110001,101.599998,3545900,100.389662
2015-09-16,101.57,101.989998,100.75,101.540001,3471600,100.330379
2015-09-17,101.580002,102.629997,100.370003,101.339996,4437500,100.132757
2015-09-18,99.709999,100.919998,98.82,99.029999,8916800,97.850278
2015-09-21,99.769997,101.089996,99.5,100.910004,3889100,99.707887
2015-09-22,99.690002,100.25,99.169998,100.029999,3546700,98.838365
2015-09-23,100.129997,100.879997,99.459999,100.629997,4033600,99.431216
2015-09-24,99.5,100.489998,98.599998,99.169998,4894800,97.988609
2015-09-25,99.790001,99.860001,98.230003,98.610001,4938400,97.435283
2015-09-28,98.300003,98.449997,96.019997,96.349998,5897000,95.202204
2015-09-29,96.349998,97.32,94.540001,95.120003,6944200,93.986861
2015-09-30,96.330002,96.889999,95.580002,96.480003,5904400,95.33066
2015-10-01,96.489998,97.099998,95.029999,96.910004,6385200,95.755538
