Date,Open_UTX,High_UTX,Low_UTX,Close_UTX,Volume_UTX,AdjClose_UTX
2016-03-11,97.18,97.650002,96.470001,96.75,4031100,96.111834
2016-03-14,96.300003,97.370003,96.290001,96.830002,3974500,96.191308
2016-03-15,96.059998,96.699997,95.879997,96.290001,2750100,95.654869
2016-03-16,96.199997,98.0,96.0,97.489998,4598300,96.846951
2016-03-17,97.82,99.269997,97.389999,98.839996,4166100,98.188045
2016-03-18,99.209999,100.290001,98.82,99.050003,9506900,98.396666
2016-03-21,99.080002,99.599998,98.790001,99.169998,3996700,98.51587
2016-03-22,98.68,99.269997,98.309998,98.660004,3510400,98.009239
2016-03-23,98.769997,99.470001,98.279999,99.110001,3235300,98.456268
2016-03-24,98.150002,99.080002,98.0,99.059998,2847000,98.406595
2016-03-28,98.959999,99.290001,98.650002,98.910004,2279700,98.25759
2016-03-29,98.410004,100.32,98.080002,100.120003,3766600,99.459608
2016-03-30,100.82,101.0,99.900002,100.25,3010700,99.588748
2016-03-31,100.080002,100.419998,98.989998,100.099998,3832500,99.439736
2016-04-01,99.389999,100.459999,98.82,99.970001,4038100,99.310596
2016-04-04,100.300003,101.18,99.800003,100.269997,3707400,99.608613
2016-04-05,99.75,100.349998,99.339996,99.860001,3120400,99.201321
2016-04-06,99.589996,100.540001,98.419998,100.370003,5070400,99.707959
2016-04-07,99.900002,101.410004,99.669998,100.889999,3844700,100.224526
2016-04-08,101.440002,102.349998,100.959999,101.32,2755500,100.65169
2016-04-11,101.580002,102.93,101.110001,102.139999,4583500,101.466281
2016-04-12,102.290001,103.480003,102.290001,103.080002,3188700,102.400083
2016-04-13,103.629997,104.75,103.610001,104.610001,3664500,103.91999
2016-04-14,105.0,105.43,101.25,104.68,5217300,103.989528
2016-04-15,104.470001,105.160004,104.209999,104.57,3764700,103.880253
2016-04-18,104.629997,105.339996,104.029999,105.129997,2809100,104.436557
2016-04-19,105.599998,106.290001,104.510002,105.0,3850500,104.307417
2016-04-20,105.419998,106.110001,105.199997,105.529999,3823400,104.83392
2016-04-21,105.559998,105.959999,105.25,105.43,2628400,104.734581
2016-04-22,105.730003,106.309998,104.93,105.699997,3061900,105.002797
2016-04-25,105.190002,105.199997,104.279999,105.199997,2768000,104.506095
2016-04-26,105.449997,105.769997,103.620003,104.800003,5515000,104.108739
2016-04-27,106.32,107.07,104.879997,105.889999,6338700,105.191546
2016-04-28,105.150002,105.589996,103.690002,104.230003,4670400,103.542499
2016-04-29,103.529999,104.940002,103.529999,104.370003,3054000,103.681575
2016-05-02,103.889999,104.900002,103.540001,104.370003,4223600,103.681575
2016-05-03,103.459999,103.870003,101.870003,102.129997,4790600,101.456345
2016-05-04,101.389999,101.779999,100.230003,100.669998,5628300,100.005976
2016-05-05,101.120003,101.230003,99.910004,100.290001,3530300,99.628485
2016-05-06,100.260002,101.290001,99.809998,101.120003,3745500,100.453012
2016-05-09,100.330002,101.370003,99.980003,100.089996,3834200,99.4298
