Date,Open_MCO,High_MCO,Low_MCO,Close_MCO,Volume_MCO,AdjClose_MCO
2016-04-19,99.209999,100.080002,98.940002,99.589996,867900,99.196741
2016-04-20,99.550003,100.970001,99.150002,100.769997,1016200,100.372081
2016-04-21,100.449997,100.989998,99.620003,99.629997,837800,99.236583
2016-04-22,98.879997,99.849998,98.5,98.779999,1374200,98.389941
2016-04-25,98.699997,99.349998,98.419998,98.879997,913700,98.489545
2016-04-26,98.339996,99.910004,98.0,99.690002,787100,99.296352
2016-04-27,99.099998,100.129997,98.879997,99.800003,667600,99.405918
2016-04-28,99.540001,100.82,98.82,99.099998,1010900,98.708678
2016-04-29,95.800003,95.889999,92.120003,95.720001,4467300,95.342027
2016-05-02,95.790001,96.400002,94.599998,96.010002,1202600,95.630883
2016-05-03,95.25,95.760002,93.82,94.57,1172500,94.196567
2016-05-04,93.75,94.150002,92.900002,93.669998,1368800,93.300119
2016-05-05,93.800003,94.419998,93.139999,93.290001,851200,92.921622
2016-05-06,93.0,94.839996,93.0,94.459999,992200,94.087
2016-05-09,94.510002,94.900002,94.040001,94.660004,902900,94.286215
2016-05-10,94.980003,96.410004,94.559998,96.290001,860900,95.909776
2016-05-11,95.860001,96.519997,94.879997,94.900002,1055500,94.525265
2016-05-12,95.550003,95.970001,93.900002,94.739998,1368300,94.365893
2016-05-13,94.540001,95.25,93.419998,93.82,930200,93.449528
2016-05-16,94.0,95.25,93.779999,94.769997,795800,94.395774
2016-05-17,94.290001,95.010002,93.540001,93.699997,890200,93.329999
2016-05-18,93.370003,94.919998,92.959999,94.160004,2156100,94.160004
2016-05-19,93.959999,94.089996,92.400002,93.07,1071300,93.07
2016-05-20,93.610001,94.290001,93.5,93.830002,832800,93.830002
2016-05-23,93.800003,94.18,93.25,93.709999,1084300,93.709999
2016-05-24,94.559998,98.040001,94.43,97.800003,1274400,97.800003
2016-05-25,98.019997,98.610001,97.940002,98.120003,885700,98.120003
2016-05-26,98.0,98.220001,97.32,97.559998,488600,97.559998
2016-05-27,97.870003,98.739998,97.870003,98.730003,486100,98.730003
2016-05-31,99.199997,99.339996,98.260002,98.639999,775900,98.639999
2016-06-01,98.639999,98.949997,97.68,98.860001,712800,98.860001
2016-06-02,98.720001,99.589996,98.349998,99.589996,971300,99.589996
2016-06-03,98.660004,98.940002,97.790001,98.760002,903800,98.760002
