Date,Open_PEG,High_PEG,Low_PEG,Close_PEG,Volume_PEG,AdjClose_PEG
2016-04-20,47.23,47.279999,45.970001,46.0,4045000,46.0
2016-04-21,45.82,45.970001,44.630001,44.889999,3644600,44.889999
2016-04-22,45.110001,45.41,44.91,45.209999,2280000,45.209999
2016-04-25,45.189999,45.360001,45.029999,45.240002,2634400,45.240002
2016-04-26,45.259998,45.630001,45.16,45.459999,2996100,45.459999
2016-04-27,45.59,46.290001,45.369999,46.060001,2995400,46.060001
2016-04-28,45.689999,46.279999,45.57,46.279999,2552800,46.279999
2016-04-29,45.34,46.43,44.32,46.130001,4046200,46.130001
2016-05-02,46.259998,46.689999,45.959999,46.169998,3666000,46.169998
2016-05-03,46.25,46.77,45.799999,46.09,3358200,46.09
2016-05-04,46.02,47.07,45.91,46.639999,3454200,46.639999
2016-05-05,46.700001,47.110001,46.240002,46.450001,2079800,46.450001
2016-05-06,46.419998,46.419998,45.32,45.709999,3675900,45.709999
2016-05-09,45.849998,46.330002,45.630001,46.200001,3201600,46.200001
2016-05-10,46.259998,46.490002,46.099998,46.25,1800200,46.25
2016-05-11,46.259998,46.490002,45.849998,46.369999,2569800,46.369999
2016-05-12,46.330002,46.610001,46.09,46.360001,2802600,46.360001
2016-05-13,46.360001,46.360001,45.75,45.869999,2199200,45.869999
2016-05-16,45.810001,46.0,45.529999,45.939999,2868200,45.939999
2016-05-17,45.77,45.970001,44.849998,45.169998,2839500,45.169998
2016-05-18,44.93,45.139999,44.150002,44.330002,3502500,44.330002
2016-05-19,44.110001,44.799999,43.82,44.790001,2291000,44.790001
2016-05-20,44.93,45.080002,44.490002,44.970001,6434700,44.970001
2016-05-23,44.970001,45.099998,44.490002,44.52,2290200,44.52
2016-05-24,44.549999,45.119999,44.48,45.0,2429400,45.0
2016-05-25,43.919998,44.150002,42.77,43.790001,9220100,43.790001
2016-05-26,43.77,44.470001,43.77,44.259998,2661200,44.259998
2016-05-27,44.299999,44.580002,44.279999,44.540001,2288300,44.540001
2016-05-31,44.509998,44.900002,44.310001,44.75,5008400,44.75
2016-06-01,44.740002,45.130001,44.540001,45.040001,2881700,45.040001
2016-06-02,44.900002,45.130001,44.490002,44.849998,2930600,44.849998
2016-06-03,45.16,45.669998,45.16,45.360001,3055800,45.360001
