Date,Open_AIV,High_AIV,Low_AIV,Close_AIV,Volume_AIV,AdjClose_AIV
2016-03-15,38.950001,39.32,38.91,39.27,477100,38.961523
2016-03-16,39.099998,39.709999,38.889999,39.66,542000,39.348459
2016-03-17,39.799999,40.68,39.549999,40.529999,749300,40.211624
2016-03-18,40.549999,40.860001,40.240002,40.259998,1619200,39.943744
2016-03-21,40.189999,40.529999,40.110001,40.259998,1000900,39.943744
2016-03-22,40.130001,40.66,39.959999,40.459999,1298600,40.142174
2016-03-23,40.380001,40.709999,40.259998,40.349998,895200,40.033037
2016-03-24,40.259998,40.439999,39.939999,40.369999,849700,40.052881
2016-03-28,40.470001,40.700001,40.200001,40.650002,659200,40.330684
2016-03-29,40.68,41.580002,40.68,41.43,1201000,41.104555
2016-03-30,41.549999,41.91,41.330002,41.669998,1060700,41.342668
2016-03-31,41.669998,41.950001,41.470001,41.82,1269300,41.491491
2016-04-01,41.650002,42.139999,41.619999,42.029999,842100,41.699841
2016-04-04,42.02,42.189999,41.84,42.130001,1057500,41.799057
2016-04-05,41.849998,42.16,41.599998,41.740002,1003400,41.412122
2016-04-06,41.669998,42.049999,41.630001,42.02,1014800,41.689921
2016-04-07,41.860001,42.130001,41.529999,41.869999,901400,41.541098
2016-04-08,42.080002,42.43,41.93,42.189999,988300,41.858584
2016-04-11,42.060001,42.25,41.27,41.330002,1243800,41.005342
2016-04-12,41.419998,41.830002,41.27,41.599998,990200,41.273218
2016-04-13,41.400002,41.5,40.490002,40.619999,1431800,40.300917
2016-04-14,40.529999,40.540001,39.450001,39.599998,1776600,39.288929
2016-04-15,39.610001,40.610001,39.490002,40.48,1313400,40.162017
2016-04-18,40.43,40.900002,40.23,40.869999,2075800,40.548953
2016-04-19,40.82,41.060001,40.650002,40.900002,682700,40.57872
2016-04-20,40.91,40.91,40.02,40.040001,678600,39.725475
2016-04-21,40.02,40.209999,39.450001,39.57,837900,39.259166
2016-04-22,39.810001,40.310001,39.52,40.139999,872900,39.824688
2016-04-25,40.029999,40.700001,39.93,40.700001,768300,40.38029
2016-04-26,40.830002,41.07,40.369999,40.599998,1035300,40.281073
2016-04-27,40.349998,40.419998,39.689999,40.23,1360800,39.913981
2016-04-28,39.889999,40.599998,39.889999,40.060001,966600,39.745318
2016-04-29,39.830002,40.34,39.41,40.060001,1556800,39.745318
2016-05-02,40.169998,41.209999,40.110001,41.110001,1226700,40.787069
2016-05-03,41.119999,41.599998,40.990002,41.549999,1140500,41.223612
2016-05-04,41.130001,42.25,40.540001,42.169998,969400,41.83874
2016-05-05,42.119999,42.650002,41.93,42.310001,1093600,41.977644
2016-05-06,42.32,43.0,42.02,42.82,913100,42.483636
2016-05-09,42.91,43.099998,42.66,43.029999,819100,42.691985
2016-05-10,43.200001,43.619999,42.810001,43.099998,1056200,42.761435
2016-05-11,43.150002,43.150002,42.060001,42.419998,944400,42.086777
2016-05-12,42.439999,42.509998,41.900002,42.5,1177800,42.16615
