Date,Open_CB,High_CB,Low_CB,Close_CB,Volume_CB,AdjClose_CB
2016-04-27,118.919998,119.160004,117.580002,118.400002,1468200,118.400002
2016-04-28,117.459999,118.309998,116.82,117.190002,1788500,117.190002
2016-04-29,117.0,117.959999,116.650002,117.860001,2006700,117.860001
2016-05-02,117.529999,119.43,116.970001,118.949997,1583400,118.949997
2016-05-03,118.010002,118.620003,117.559998,118.260002,1479400,118.260002
2016-05-04,117.690002,118.669998,116.889999,117.82,1780100,117.82
2016-05-05,119.629997,122.620003,119.480003,122.459999,3160100,122.459999
2016-05-06,121.599998,122.629997,120.949997,122.349998,1922900,122.349998
2016-05-09,121.800003,123.050003,121.5,122.900002,1230300,122.900002
2016-05-10,123.239998,125.279999,122.900002,125.220001,1631200,125.220001
2016-05-11,124.68,125.029999,123.57,123.760002,1714800,123.760002
2016-05-12,124.029999,125.82,123.919998,125.379997,1725300,125.379997
2016-05-13,124.980003,125.839996,124.660004,125.120003,1502000,125.120003
2016-05-16,124.910004,125.769997,124.639999,125.290001,1122400,125.290001
2016-05-17,125.089996,125.410004,123.660004,124.059998,1343000,124.059998
2016-05-18,123.790001,126.059998,123.209999,125.620003,1637500,125.620003
2016-05-19,124.940002,125.050003,124.080002,124.849998,952100,124.849998
2016-05-20,125.529999,126.629997,125.0,125.75,1289400,125.75
2016-05-23,125.43,126.18,125.0,125.879997,1286500,125.879997
2016-05-24,126.25,128.059998,126.050003,127.059998,1666800,127.059998
2016-05-25,127.43,128.139999,126.889999,127.169998,1761100,127.169998
2016-05-26,127.599998,127.760002,126.059998,126.370003,1035900,126.370003
2016-05-27,126.599998,127.279999,126.279999,127.220001,1234300,127.220001
2016-05-31,127.419998,127.599998,126.0,126.610001,1613000,126.610001
2016-06-01,126.110001,127.470001,125.519997,127.330002,1282300,127.330002
2016-06-02,127.25,127.809998,126.669998,127.809998,987600,127.809998
2016-06-03,127.25,128.0,125.910004,127.559998,1185800,127.559998
