Date,Open_LB,High_LB,Low_LB,Close_LB,Volume_LB,AdjClose_LB
2016-04-06,85.480003,86.68,85.010002,86.099998,1414800,85.346386
2016-04-07,86.010002,87.160004,83.75,84.150002,3108400,83.413456
2016-04-08,82.989998,83.550003,79.870003,80.5,5276100,79.795403
2016-04-11,80.839996,81.279999,79.18,79.279999,3660400,78.58608
2016-04-12,77.300003,79.470001,75.910004,79.07,9309900,78.377919
2016-04-13,79.43,80.139999,79.040001,79.809998,1986100,79.11144
2016-04-14,79.57,81.07,79.089996,80.870003,2761200,80.162167
2016-04-15,81.0,82.309998,80.629997,82.260002,3183100,81.54
2016-04-18,81.919998,82.150002,80.620003,81.370003,2315600,80.65779
2016-04-19,81.620003,81.900002,79.199997,79.330002,2719500,78.635645
2016-04-20,78.830002,79.199997,77.309998,78.160004,5927400,77.475888
2016-04-21,77.879997,78.68,77.019997,77.209999,2051200,76.534198
2016-04-22,77.43,77.510002,76.449997,76.760002,2132000,76.08814
2016-04-25,77.379997,78.470001,76.760002,77.889999,2635800,77.208247
2016-04-26,78.260002,78.720001,77.709999,78.449997,1434700,77.763343
2016-04-27,78.610001,78.949997,78.269997,78.809998,1534200,78.120192
2016-04-28,79.239998,80.080002,78.760002,79.5,2765800,78.804155
2016-04-29,79.099998,79.150002,77.5,78.290001,2028600,77.604747
2016-05-02,78.580002,80.040001,78.370003,79.540001,2096100,78.843806
2016-05-03,79.540001,79.540001,78.199997,79.160004,1697900,78.467135
2016-05-04,78.730003,80.199997,78.32,80.18,2350200,79.478204
2016-05-05,72.519997,73.370003,70.139999,70.529999,17167200,69.912666
2016-05-06,70.629997,70.629997,69.0,69.589996,6168400,68.980892
2016-05-09,69.300003,70.860001,69.239998,70.029999,3886500,69.417043
2016-05-10,69.529999,70.029999,68.75,69.160004,2861600,68.554663
2016-05-11,68.360001,68.940002,67.419998,67.440002,2840900,66.849716
2016-05-12,67.360001,67.860001,66.989998,67.419998,2287300,66.829887
2016-05-13,67.239998,68.029999,66.620003,66.739998,3806400,66.155838
2016-05-16,66.599998,67.239998,66.370003,66.370003,4509400,65.789082
2016-05-17,66.900002,67.660004,65.0,65.370003,4709200,64.797835
2016-05-18,64.720001,64.900002,62.990002,63.779999,6438800,63.221748
2016-05-19,60.0,63.32,60.0,60.619999,10324200,60.089406
2016-05-20,61.279999,64.089996,61.080002,63.540001,5802100,62.98385
2016-05-23,63.66,64.0,62.759998,63.279999,3580800,62.726124
2016-05-24,64.349998,64.610001,63.869999,64.260002,5229900,63.69755
2016-05-25,64.25,66.470001,64.25,66.150002,4274500,65.571006
2016-05-26,66.470001,66.589996,66.010002,66.449997,4153100,65.868376
2016-05-27,66.400002,67.93,66.300003,67.919998,3939600,67.325511
2016-05-31,67.650002,68.68,67.260002,68.550003,5463600,67.950001
2016-06-01,67.949997,68.75,67.290001,68.410004,4460600,68.410004
2016-06-02,69.800003,71.449997,69.07,71.330002,5401300,71.330002
2016-06-03,71.029999,71.459999,70.949997,71.019997,3047300,71.019997
