Date,Open_MPC,High_MPC,Low_MPC,Close_MPC,Volume_MPC,AdjClose_MPC
2016-05-10,35.419998,35.669998,34.709999,35.450001,5512300,35.130361
2016-05-11,35.419998,36.66,35.060001,35.900002,5005300,35.576304
2016-05-12,35.900002,36.650002,34.799999,34.990002,4563500,34.67451
2016-05-13,34.830002,35.939999,34.669998,35.490002,6937900,35.170001
2016-05-16,35.459999,35.669998,34.450001,35.630001,6189400,35.630001
2016-05-17,35.639999,36.849998,35.529999,36.07,5278600,36.07
2016-05-18,36.02,37.540001,36.009998,36.740002,4593700,36.740002
2016-05-19,36.130001,37.119999,35.610001,36.099998,6881400,36.099998
2016-05-20,36.279999,36.639999,35.5,36.630001,4567000,36.630001
2016-05-23,36.41,37.09,35.549999,35.57,3559200,35.57
2016-05-24,35.77,36.189999,35.400002,35.810001,4436000,35.810001
2016-05-25,36.209999,36.209999,35.23,35.68,4667800,35.68
2016-05-26,35.900002,35.900002,34.380001,34.549999,3678200,34.549999
2016-05-27,34.66,35.130001,34.060001,35.110001,3097300,35.110001
2016-05-31,35.16,35.560001,34.389999,34.830002,5879500,34.830002
2016-06-01,34.830002,36.529999,34.43,36.439999,7361400,36.439999
2016-06-02,36.48,37.490002,36.119999,36.68,6613600,36.68
2016-06-03,36.650002,36.709999,35.169998,35.459999,5421300,35.459999
