Date,Open_TJX,High_TJX,Low_TJX,Close_TJX,Volume_TJX,AdjClose_TJX
2016-05-17,78.160004,78.379997,74.360001,75.589996,13972900,75.589996
2016-05-18,75.010002,75.309998,73.82,74.720001,5807900,74.720001
2016-05-19,74.769997,76.120003,74.559998,75.800003,3995000,75.800003
2016-05-20,75.269997,75.82,74.93,75.440002,3574600,75.440002
2016-05-23,75.470001,75.900002,74.620003,74.699997,2914200,74.699997
2016-05-24,75.239998,75.550003,74.739998,75.239998,2745800,75.239998
2016-05-25,75.550003,75.769997,74.75,75.32,2633700,75.32
2016-05-26,76.110001,76.650002,75.620003,75.919998,2884600,75.919998
2016-05-27,76.010002,76.68,75.849998,76.650002,2308800,76.650002
2016-05-31,76.510002,76.690002,75.769997,76.120003,3411900,76.120003
2016-06-01,75.870003,76.75,75.809998,76.599998,2669500,76.599998
2016-06-02,76.480003,77.129997,76.279999,77.0,2722800,77.0
2016-06-03,76.459999,76.879997,76.260002,76.43,2375300,76.43
